"","training time","random forest error","best k","clutch error"
"1",26.484,35.5286,3,6.338
"18",30.869,6.9784,16,6.332
"2",14.58,136.5174,17,7.846
"34",24.083,29.4038,11,6.11
"50",23.381,6.233,5,5.944
"19",16.608,11.7384,16,7.384
"24",32.039,6.4924,6,6.246
"29",107.025,6.267,3,6.096
"8",16.939,110.4138,15,5.934
"13",17.588,64.7846,12,7.006
"45",22.643,6.5592,21,6.024
