"","training time","random forest error","best k","clutch error"
"1",39.662,56.3928,2,55.264
"18",39.45,56.5824,2,58.152
"2",70.759,55.2486,2,54.776
"34",39.348,55.8228,2,54.928
"50",35.5599999999999,54.0822,2,56.238
"19",68.521,55.4,15,58.202
"24",39.013,57.2158,2,59.658
"29",36.368,56.1924,2,61.354
"8",70.679,56.5248,2,56.022
"13",68.759,57.53,2,56.4
"45",40.232,58.0528,2,57.894
