"","training time","random forest error","best k","clutch error"
"1",48.835,51.9906,200,43.116
"18",24.797,45.7874,196,41.642
"2",26.833,48.7924,203,41.626
"34",30.381,52.2286,190,39.926
"50",37.862,52.9724,195,42.538
"19",21.419,41.054,194,41.346
"24",25.99,46.2252,191,40.922
"29",21.884,46.1312,194,40.808
"8",27.381,47.3578,193,40.216
"13",25.843,44.1186,206,39.88
"45",26.117,53.426,194,36.854
