"","training time","random forest error","best k","clutch error"
"1",47.525,8.0988,10,7.006
"18",47.3800000000001,6.9624,9,6.984
"2",549.502,7.5538,2,7.466
"34",52.6969999999997,8.3158,2,7.028
"50",40.2489999999998,8.9442,17,7.93
"19",532.443,6.913,8,6.938
"24",53.0419999999999,6.971,2,7.396
"29",40.7530000000002,7.5926,7,7.62
"8",551.989,7.4582,4,7.726
"13",648.302,10.4414,18,9.05
"45",52.5230000000001,8.1112,2,7.092
