"","training time","random forest error","best k","clutch error"
"1",140.05,12.7716,15,13.544
"18",141.167,12.6044,20,13.544
"2",924.726,12.7582,5,13.498
"34",224.837,12.6596,11,13.802
"50",123.991,13.3312,18,13.928
"19",932.472,12.5926,11,13.38
"24",148.458,12.6982,2,13.736
"29",125.782,13.2914,8,14.026
"8",930.844,12.6588,7,13.582
"13",923.934,13.3392,12,13.788
"45",441.416,13.6178,19,14.644
