"","training time","random forest error","best k","clutch error"
"1",310.127,80.6854,195,72.918
"18",725.951999999997,83.4244,208,79.046
"2",10269.283,82.1406,205,76.594
"34",245.741999999998,80.6848,208,66.026
"50",220.370000000003,89.4348,195,87.858
"19",9531.87,83.5504,195,82.882
"24",233.701000000001,82.4916,199,72.02
"29",202.485000000001,91.2538,195,90.192
"8",10146.689,82.7636,198,65.358
"13",10139.566,92.1122,196,89.966
"45",237.843999999997,79.611,200,74.512
