"","training time","random forest error","best k","clutch error"
"1",29.236,34.1132,5,31.308
"18",26.878,37.2266,10,31.736
"2",128.629,34.0728,10,32.908
"34",25.615,37.7116,11,29.948
"50",19.372,41.1674,5,39.01
"19",53.497,38.3214,14,33.504
"24",28.417,37.8812,13,30.358
"29",20.541,73.2196,16,42.532
"8",53.755,37.89,9,32.788
"13",48.034,39.7594,5,38.374
"45",85.892,45.9606,12,32.566
