"","training time","random forest error","best k","clutch error"
"1",456.664,27.1722,11,21.762
"18",446.632,19.2594,2,19.558
"2",364.835,25.0366,5,22.424
"34",448.532,26.9214,8,21.95
"50",468.961,28.6452,4,25.014
"19",370.854,19.3586,2,19.514
"24",435.401,19.4242,2,21.882
"29",447.691,23.1214,2,22.922
"8",364.015,24.6056,2,23.446
"13",374.351,28.6202,3,27.792
"45",706.461,28.7656,2,24.55
