"","training time","random forest error","best k","clutch error"
"1",70.084,19.1782,2,14.022
"18",69.389,13.7796,2,14.072
"2",38.967,16.334,3,16.732
"34",69.415,18.6914,2,14.02
"50",71.042,19.4968,2,13.964
"19",39.865,14.738,2,14.904
"24",68.852,13.8196,2,14.052
"29",71.682,13.854,2,14.006
"8",38.794,16.2456,7,16.306
"13",42.199,16.9498,2,16.846
"45",70.652,19.1884,2,14.002
