"","training time","random forest error","best k","clutch error"
"1",117.565,65.9122,37,23.71
"18",115.394,45.2368,22,23.744
"2",22.309,86.9838,17,42.42
"34",27.356,74.4236,7,23.452
"50",21.79,69.2558,19,29.14
"19",23.774,40.19,4,34.326
"24",27.867,45.0356,10,22.674
"29",22.28,46.9794,10,29.176
"8",23.513,79.3632,3,41.008
"13",21.06,68.6044,5,57.968
"45",27.317,70.4254,7,23.226
