"","training time","random forest error","best k","clutch error"
"1",37.537,51.0928,5,50.542
"18",38.16,52.8776,17,50.748
"2",26.785,52.4682,6,50.94
"34",34.559,51.0324,6,50.204
"50",38.574,51.7752,2,59.738
"19",25.664,53.5736,12,51.052
"24",36.352,53.0162,9,50.712
"29",37.18,53.0078,2,60.75
"8",27.879,53.4374,7,50.81
"13",112.125,52.6534,11,52.154
"45",39.006,51.6004,2,61.324
