"","training time","random forest error","best k","clutch error"
"1",350.219,64.6878,2,64.808
"18",330.999000000002,67.1334,2,66.984
"2",2870.168,66.387,2,66.516
"34",437.645,64.9706,16,61.174
"50",368.65,84.6466,15,79.894
"19",2686.479,68.601,2,68.372
"24",413.188,66.7632,6,64.628
"29",360.273999999999,85.994,18,82.674
"8",2892.315,66.73,10,61.76
"13",2918.829,91.5956,20,84.402
"45",415.668,66.0114,15,63.1
