"","training time","random forest error","best k","clutch error"
"1",96.39,84.655,3,81.13
"18",101.525,80.7252,2,87.914
"2",45.97,81.898,2,81.99
"34",98.515,84.97,3,80.988
"50",55.752,85.1446,2,82.028
"19",122.938,83.5562,17,80.248
"24",98.6170000000001,80.8964,2,88.914
"29",56.884,81.2394,2,89.55
"8",119.408,81.4036,20,84.024
"13",39.777,82.8552,2,82.964
"45",78.032,85.1548,3,81.058
