runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14
588,0,2000,800,0.01,-360,-330,-360,-330,55,80,60,80,15,0
648,0,2000,1260,0.01,-360,-330,-360,-330,50,80,60,80,0,0
475,0,1400,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
561,0,1500,1100,0.01,-342,-330,-340,-330,70,80,70,80,15,0
647,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,10000
721,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,14,-2
691,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,0,0
655,0,2000,1250,0.01,-360,-330,-360,-330,50,80,50,70,0,0
719,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20,-10
734,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,30,10
596,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
558,300,2000,600,0.01,-360,-330,-360,-330,50,80,60,80,15,0
735,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,20,-10
693,0,2000,1750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
703,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
587,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,-20
650,0,2000,1200,0.01,-360,-330,-360,-330,50,80,60,80,10,20
658,0,2000,750,0.01,-360,-330,-360,-330,50,80,60,80,0,0
652,0,2000,1250,0.01,-360,-330,-360,-330,60,80,50,80,50,30
802,0,2000,1250,0.01,-360,-330,-360,-330,55,80,50,80,10,20
607,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,40
619,0,2000,1800,0.01,-360,-330,-360,-330,50,80,50,70,0,0
636,0,2000,1300,0.01,-360,-330,-360,-330,55,80,60,80,15,0
608,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
670,0,2000,1200,0.01,-360,-330,-354,-330,50,80,60,80,-10,-10
713,0,2000,1100,0.01,-366,-330,-350,-330,50,80,60,80,20,0
618,0,2000,1250,0.01,-400,-340,-400,-340,40,90,40,100,25,30
672,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,100,0
685,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
656,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
660,0,2000,1700,0.01,-360,-330,-360,-330,50,80,60,80,0,0
601,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,10,0
588,0,2000,1250,0.01,-360,-336,-360,-340,30,50,40,60,30,-20
629,0,2000,1250,0.01,-360,-330,-360,-330,50,80,60,80,30,20
626,0,2000,1100,0.01,-360,-330,-360,-330,55,80,50,80,10,-5
