runtime,in01,in02,in03,in04,in05,in06,in07
316,48,1.5,0.8,0.0015,0,1,0
355,48.9345,1.5,0.8,0.0015,0.001,1,0
360,48.6,1.5,0.8,0.0015,0.001,1,0
235,100,1.5,0.8,0.0015,0.001,1,0
266,146,1.5,0.8,0.0015,0,1,0
262,96.64,1.5,0.8,0.0015,0,1,0
362,192,1.5,0.4,0.0015,0,1,0
215,144,1.5,0.8,0.0015,0,1,0
225,48.4,1.5,0.8,0.0015,0,1,0
278,96,1.5,0.8,0.0015,0,1,0
4,47.4,1.5,0.8,0.0015,0.001,1,0
287,45.4,1.5,0.8,0.0015,0.003,1,0
333,96.10526316,1.5,0.8,0.0015,0,1,0
257,144.6,1.5,0.8,0.0015,0.001,1,0
309,50,1.5,0.8,0.0015,0,1,0
241,51.6,1.5,0.8,0.0015,0.001,1,0
251,25,15,0.8,0.0015,0,1,0
303,60,1.5,0.8,0.0015,0,3,0
245,48.94736842,1.5,0.8,0.0015,0,1,0
325,49,1.5,0.8,0.0015,0,1,0
3,47.65789474,1.5,0.8,0.0015,0.001,1,0
272,47.5,1.5,0.8,0.0015,0,1,0
271,47.262,1.5,0.8,0.0015,0.1,1,0
271,95,1.5,0.8,0.0015,0,1,0
269,36.4,1.5,0.8,0.0015,0,1,0
268,97.39842105,1.5,0.8,0.0015,0.001,1,0
242,48.44,1.5,0.8,0.0015,0,1,0
258,49.3,1.5,0.8,0.0015,0.001,0.01,0
233,48.3,1.5,0.8,0.0015,0,1,0
241,68.42105263,1.5,0.8,0.002,0,1,0
255,69.23684211,1.5,0.8,0.0015,0.001,1,0
231,59,1.5,0.8,0.0015,0,1,0
317,144.6052632,1.5,0.8,0.0015,0,1,0
315,48.94666667,1.5,0.8,0.0015,0.001,1,0
214,48.35736842,1.5,0.8,0.0015,0,1,0
251,46.4,1.5,0.8,0.0015,0.001,1,0
274,145.103949,1.5,0.8,0.0015,0,0.000004,0
4,43.33333333,1.5,0.8,0.0015,0.005,1,0
259,48.95,1.5,0.8,0.0015,0.003,1,0
667,71.80894737,1.5,0.8,0.0015,0.001,1,0
226,143.5263158,1.5,0.8,0.0015,0.001,1,0
249,29,1.5,0.8,0.0015,0,30,0
252,20,1.5,0.8,0.0015,0.001,1,0
228,48.64214402,1.5,0.8,0.0015,0.001,1,0
255,46.83684211,1.5,0.8,0.0015,0.003,1,0
329,3.85,1.5,0.8,0.0015,0,1,0
239,97.25,1.5,0.8,0.0015,0,1,0
264,96.7,1.5,0.8,0.0015,0.1,1,0
287,53,1.5,0.8,0.0015,0.001,0.0075,0
246,145.1,1.5,0.8,0.0015,0,1,0
247,58.77789474,1.5,0.8,0.001,0,1,0
275,7.6955,1.5,0.8,0.0015,0.001,10,0
149,376.8,1.5,0.8,0.0015,0,1,0
3,96.73592,1.5,0.8,0.0015,0,30,0
246,48.37,1.5,0.8,0.0015,0,1,0
4,48.3,1.5,0.8,0.0015,0.001,1,0
