runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
49791,A04,0.2,3000000,0.000001,50000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
13867,A06,0.3,240000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
427,A04,0.2,300000,0.00001,100000,30,1,4,1,8,0,0,0,0,0,0,0,0,0
440,A12,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
5264,A06,0.2,3000000,0.000001,100000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
761,A04,0.2,3000000,0.000001,3000,3,1,1,5,0,2,4,6,8,0,0,0,0,0
12598,A04,0.65,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
16480,A04,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
19392,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
23538,A06,0.2,3000000,0.000001,3000,3,1,1,10,0,2,4,6,8,10,12,14,16,18
26258,A12,0.3,300000,0.00001,60000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
31053,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
68,A04,0.0034,155719,0.000001,1000,30,1,1,1,0,5,10,15,20,25,30,35,40,45
884,A01,2,3000,0.000001,3000,30,1,3,10,0,5,10,15,20,25,30,35,40,45
14003,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
312,A04,0.75,1000000,0.000001,3000,3,1,1,1,6,0,0,0,0,0,0,0,0,0
6264,A07,0.4,2080000,0.000001,50000,30,1,1,1,0,5,10,15,20,25,30,35,40,45
17037,A06,0.2,160000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
37605,A04,0.2,5000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
23834,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,7,8,9,10
134,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
611,A01,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
361,A04,0.2,3000000,0.000001,3000,3,1,1,2,0,10,0,0,0,0,0,0,0,0
765,A04,0.2,3000000,0.000001,6000,3,1,1,2,1,5,0,0,0,0,0,0,0,0
9162,A05,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
124,A03,0.2,3000000,0.000001,3000,3,1,1,1,1,0,0,0,0,0,0,0,0,0
4935,A05,0.2,3000000,0.000001,30000,3,1,1,1,1,2,3,4,0,0,0,0,0,0
