runtime,in01,in02
326,0,0.143
411,0,0.3
325,0,0.125
406,0,0.9
1343,0,0.429
1672,0,0.45
868,0.5,0
1532,0,0.57
1385,0,0.286
415,1,0.1
2321,0,0.275
2039,0,0.5
2353,0,0.5
7467,0,0.575
290,0,0.6
1350,0,0.65
415,0,0.5
4916,0,0.2
2506,0,0.4
50,0,0.3
950,0,0.71428571
3023,0,0.15
49,0,0.5
2000,0,0.715
45,0.111,1
1467,0,0.1428
4,0,0.28
1164,0,0.1
5354,0,0.55
759,0,0.33333333
2013,0,0.35
3524,0,0.2
1694,0,0.285
1510,0,0.28
6,0,0.143
2230,0,0.78
2007,0,0.143
405,1,0.3
403,0,0.5
54,0.142,1
2648,0,0.2
2222,0,0.133
893,0,0.5
182,0,0.857
2916,0,0.2
411,0,0.6
300,1,0.143
332,0,0.15
1905,0,0.571
68,1,0.5
1682,0,0.143
2019,0,0.1
2001,0,0.7
426,1,0.5
3374,0,0.75
2295,0,0.4
816,0,0.5
4219,0,0.75
1647,0,0.278
1966,0,0.71
3,0,0.8
1297,0,0.28
42,0,0.045
1105,0,0.143
3151,0,0.78
899,0,0.714
1744,0,0.2
423,1,0.5
58,0,0
1848,0,0.285
3,0,0.715
2735,0,0.9
2355,0,0.18
1946,0,0.56
2018,0,0.3
1146,0,0.5
3,0,0.142857
1701,0,0.5
3239,0,0.1
2620,0,0.275
2547,0,0.571
2609,0,0.2
3,0,0.435
407,1,0.4
2459,0,0.4
1066,0,0.5
2029,0,0.25
1050,0,0.42857143
2229,0,0.8
3571,0,0.45
870,0,0.429
404,0,0.75
1868,0,0.3
1981,0,0.35
407,0,0.3
406,1,0.1
2703,0,0.83
419,0,0.7
95,1,0.5
290,1,0.143
60,1,0.9
415,0,0.4
2236,0,0.27
7,0,0.5
1135,0,0.428
3354,0,0.4
411,1,0.2
336,0,0.143
914,0,0.725
305,0,0.4
1916,0,0.429
2017,0,0.3
1468,0,0.273
3879,0,0.151
1260,0,0.4
1590,0,0.435
2111,0,0.57
427,1,0.5
417,0,0.8
2582,0,0.857
320,0,0.55
1124,0,0.714
2829,0,0.8
2124,0,0.286
1755,0,0.42
2714,0,0.5
416,1,0.6
2767,0,0.65
4377,0,0.2
2369,0,0.1
2011,0,0.7
342,0,0.75
413,0,0.2
325,0,0.111
3143,0,0.428
2105,0,0.55
1294,0,0.5
3353,0,0.75
3537,0,0.5
2698,0,0.55
76,0,0
1582,0,0.4
1611,0,0.5
326,0,0.8
1356,0,0.287
2223,0,0.6
1270,0,0.1
5022,0,0.7
2876,0,0.3
74,1,0.7
5067,0,0.6
3103,0,0.79
1432,0,0.269
319,0,0.4
1981,0,0.2
2188,0,0.31
3289,0,0.425
878,0,0.2
981,0,0.286
2448,0,0.35
1,0,0.5
4077,0,0.2
2260,0,0.1
2775,0,0.4
1677,0,0.9
3072,0,0.86
1819,0,0.281
78,0,1
1523,0,0.4
415,1,0.7
54,0.2,1
1908,0,0.3
2095,0,0.3
3248,0,0.1
2021,0,0.4
2582,0,0.2
3315,0,0.6
1317,0,0.896
1951,0,0.1
1592,0,0.3
2022,0,0.285
2879,0,0.143
1238,0,0.143
2589,0,0.81
3272,0,0.45
3,0,0.9
66,1,0.5
421,0,0.4
1454,0,0.28
2714,0,0.28
4970,0,0.6
4933,0,0.7
2682,0,0.1
4729,0,0.147
343,0,0.166
2763,0,0.9
2780,0,0.25
2064,0,0.8
41,0,0.7
2599,0,0.295
394,0,0.7
2555,0,0.43
435,1,0.4
3479,0,0.15
1167,0,0.3
1688,0,0.5
2571,0,0.287
321,0,0.142
1682,0,0.5
1195,0,0.13
1828,0,0.3
402,0,0.5
772,0,0.14285714
3509,0,0.7
3261,0,0.8
2069,0,0.4
123,1,0.5
4031,0,0.65
2554,0,0.5
2063,0,0.25
45,0,0.7
43,0,0.5
2174,0,0.6
5135,0,0.4
4,0,0.286
4350,0,0.5
2546,0,0.715
4,0,0.143
407,0,0.5
2944,0,0.15
416,1,0.4
2724,0,0.25
1230,0,0.3
2236,0,0.14
2778,0,0.35
1856,0,0.857
3325,0,0.35
2807,0,0.35
4267,0,0.1
1779,0,0.1
1828,0,0.25
4061,0,0.25
1991,0,0.5
1296,0,0.14
1816,0,0.3
5,0,0.2
335,0,0.25
316,0,0.45
2006,0,0.285
3901,0,0.148
1681,0,0.7
1015,0,0.57142857
343,0,0.75
1371,0,0.857
1516,0,0.268
1130,0,0.428
7,0,0.143
2956,0,0.75
396,1,0
1771,0,0.425
2733,0,0.4
1376,0,0.5
3448,0,0.8
422,1,0.9
2406,0,0.147
3153,0,0.143
1417,0,0.5
940,0,0.6
1122,0,0.857
57,0.25,1
1751,0,0.565
2167,0,0.45
1860,0,0.283
2006,0,0.5
347,0,0.33
1358,0,0.571
402,0,0.5
936,0,0.429
2130,0,0.714
2309,0,0.6
2941,0,0.1
66,1,0.8
2891,0,0.3
1865,0,0.4
1635,0,0.277
2223,0,0.29
1642,0,0.142
1918,0,0.2
2008,0,0.63
3321,0,0.55
3151,0,0.55
1037,0,0.142
2206,0,0.5
2140,0,0.5
3,0,0.5
44,0,0
321,1,0.9
1023,0,0.267
1890,0,0.1
1946,0,0.4
1370,0,0.1
2564,0,0.29
2487,0,0.35
1947,0,0.225
155,0,0.143
2407,0,0.143
1901,0,0.8
2546,0,0.35
3102,0,0.15
3247,0,0.4
3329,0,0.725
2798,0,0.53
5029,0,0.1
1037,0,0.27
