runtime,in01,in02,in03,in04,in05
74592,2000,50,-5,0,0
45974,2000,20,-0.98481,0,0.173648
35034,1000,50,-4.972609,-0.522642,0
51891,1500,50,-4.996954135,0,-0.174497484
24109,1000,25,-7,0,0
34982,500,50,-1,0,0
36345,1000,50,-4.972609,0.522642,0
70739,2500,50,-5,0,0
32874,5000,50,-1,0,0
44055,1000,50,-4.998,0,0
16033,1500,50,-2,0,0
37358,1000,50,-2.95,0,-0.52
3,2000,20,-2.95442,0,-0.520945
92272,2000,50,-2,0,0
104095,1500,50,-3,0,0
64379,1000,50,-8,0,0
48093,1500,50,-1,0,0
299526,4000,80,-9.962,0,0.276
81311,1500,50,-4.996954135,0,0.174497484
38491,1000,50,-3,0,0.1
12716,1500,50,-2.998172,0,0.104698
27529,1000,50,-7.989036278,0,0.41868765
22421,1000,50,-4.995,0.218,0
48371,1000,50,-2,0,0
17705,1000,50,-8,0,0
45256,1000,50,-7,0,0
66736,3000,50,-1.997,0,-0.1048
3878,100,50,-5,0,0
51664,900,180,-4.698463104,1.710100717,0
99387,3000,50,-8,0,0
57365,1500,20,-5,0,0
41800,1000,50,-7.999,0,-0.14
31181,1000,50,-4.996954,0.174497,0
58080,1000,50,-7.98904,0,0.418688
46184,2000,50,-9.962,0,0.276
124913,2500,50,-8,0,0
36965,1000,50,-2,0,0
45667,1000,50,-4.972609,0,-0.522642
90309,1000,25,-4.995241108,0.218096937,0
24775,1000,25,-1,0,0
130206,3500,50,-8,0,0
43671,1000,50,-10,0,0
51375,2000,20,-10,0,0
7623,150,100,4,0,0
34421,2000,50,-9,0,0
24288,1000,25,-4.997,0,0.1745
51563,1000,50,-1,0,0
9397,300,50,6,0,0
214086,3000,50,-8.9658,0,0.7844
33783,1000,50,-3,0,0
63766,3000,50,-1.992,0.175,0
288102,3000,50,-5,0,0
87952,3000,50,-2.99,0.16,0.16
14072,1500,150,-4,0,-0.7
21122,1000,25,-4.92404,0,-0.86824
73374,2000,50,-2.992692,0,0.209269
63346,1000,50,-5.9484,0,-0.783
96,1000,50,-7.878462,0,1.389185
18693,1000,50,-6,0,0
621,2000,50,-2.983565686,0.31358539,0
100,1000,50,-7.969558,0,-0.697246
26889,1000,50,-3.93923,0,0.6945927
124463,1000,50,-8,0,0
19965,1000,50,-3.99026,0.279026,0
31341,1200,120,-2.954423259,0,0.520944533
34308,3000,50,5,0,0
13306,1500,50,-3,0,0
2,1000,50,-1,0,0
50615,1500,20,-4,0,0
94954,2000,50,-4.924,0,0.868
51507,1500,50,-4.987820251,0,0.348782369
37464,1500,50,-2.970804,0.417519,0
30053,1000,50,-4.951340344,0.695865505,0
75188,1000,25,-9,0,0
31677,1000,50,-4.996954,0,-0.174497
50941,1000,50,-4.999,0,-0.087
7074,2000,50,-2.954423,0,0.520945
49894,1500,20,-8,0,0
2,2000,50,-2.970804,0.417519,0
28316,1000,50,-8,0,0
104304,1500,50,-4.9627,-0.60935,0
29941,1000,50,-10,0,0
124738,1000,50,-4.995,0,0.218
6106,1500,50,-2.988584,0,0.261467
25209,1000,50,-7.956175163,0,-0.836227706
19861,1000,50,-5,0,0
5,1000,50,-4.98,0,0.4357
36351,1000,50,-3.96107,0,0.556692
15635,1500,50,-4,0,0
29934,1000,50,-5,0,0
41236,1500,300,-4.924038765,0,-0.868240888
39889,1500,50,-1,0,0
58660,1000,50,-8,0,0
98855,1000,50,-5,0,0
89858,1500,50,-4.99315,0,-0.26165
65486,3000,50,-1.992,0,0.175
4651,1000,50,3,0,0
25640,1000,50,-3.96107,0,0.556692
55963,2000,50,-3.961072275,0,-0.556692404
31422,1000,50,-2.970804206,0.417519303,0
34006,1500,50,-4,0,0
39953,1000,50,-5,0,0
25093,1000,50,-4.938,0,0.782
111727,2000,50,-4.981,0.436,0
47459,1000,50,-2.99,-0.26,0
53662,1000,50,-4.938441703,0,-0.782172325
25174,800,80,-7,0,0
86749,3000,100,-1.701973113,-5.753545648,0
13841,2000,2000,-4,0,0
40053,2000,50,-2.970804,0.417519,0
226869,3000,50,-0.9848,0.1736,0
99146,1000,50,-4.98,-0.4357,0
129,1000,50,-5,0,0
204951,1500,50,-1,0.364,0
71588,1000,100,-4.98097349,0.435778714,0
2,1000,50,-1,0,0
35872,1000,50,-7.989,0,0.419
25798,3000,50,-1,0,0
147,1000,50,-1,0,0
48961,1000,50,-1.997,0,-0.105
7,1500,50,-2.983566,-0.313585,0
16732,2000,2000,-4,0,-1
32418,1000,50,-1,0,0
128717,3000,100,-5.977168189,0,0.522934456
16970,1000,50,-7.902,0,-1.251
5877,100,100,4,0,0
233197,3000,50,-1,0,0
83897,2000,50,-4,0,0
48968,1000,50,-1.997,0,0.105
80237,1500,50,-2.992692151,-0.209269421,0
106390,2000,50,-4.924,-0.868,0
81802,3000,50,-4.981,0,0.4358
70875,1500,50,-3,0,0
55428,1000,50,-4,0,0
26374,1000,50,-3,0.42,0
50838,1500,50,-4.972609477,0,-0.522642316
16898,1000,50,-5,0,0
58263,2000,50,-4.924,0,-0.868
50754,2000,50,-10,0,0
46792,1000,50,-10,0,0
34340,1000,50,-1,0,0
39046,1500,50,-10,0,0
34127,1000,50,-1.992,0,0.174
41820,1000,50,-5,0,0
97153,1000,50,-5.994,0,-0.2616
37967,2500,50,-5,0,0
46548,1500,50,-2.998172481,-0.10469849,0
34611,1500,50,-5,0,0
3403,150,100,4,0,0
12234,1500,50,-2.955889,-0.157008,0
58208,1000,50,-4.996954,0,-0.174497
84722,1000,50,-3,0,0
20229,3000,100,-1,0,0
83,1000,50,-1,0,0
26701,1000,50,-4.951340344,0,0.695865505
63606,1500,50,-4.996954135,-0.174497484,0
21362,1000,50,-6,0,0
37096,1000,50,-4,0,0
16860,3000,300,-4,0,0
29934,1000,50,-0.9961,0,-0.0871
51312,1000,50,-2,0,0
19683,1000,50,-10,0,0
44230,3000,50,-1,-3,0
3,1500,50,-2.983566,0,0.313585
36537,1000,50,-2.998,0.16,0
20492,1000,50,-0.9925,0,0.1218
123837,1000,50,-6,0,0
51257,1500,50,-4.98097349,0,0.435778714
66998,1000,50,-1,0,0
14810,600,60,-0.996194698,0.087155743,0
19935,1000,50,-3,0,0
68337,3000,50,-1,0,0
36337,1000,50,-4.987820251,-0.348782369,0
61045,3000,50,-2.977,-0.26,0.26
25244,1000,50,-1,0,0
8,80,50,4,2,1
111231,4000,80,-4.924,0.868,0
56857,1000,50,-4.981,0,-0.4358
61317,2000,50,-2.983566,0,0.313585
106288,2500,50,-7,0,0
50754,1500,50,-2,0,0
18591,3000,50,-1,0,0
75210,2000,50,-2.992692151,0,-0.209269421
45811,1500,20,-1,0,0
25225,1200,120,-4.924038765,0.868240888,0
74757,2000,50,-8,0,0
99918,2500,50,-5,0,0
10762,500,125,-0.939692621,0,-0.342020143
51510,2000,50,-3.939231012,0.694592711,0
18290,1000,25,-7,0,0
2,2000,20,-2.95442,0,0.520945
1,1000,50,-7.902,0,-1.251
62106,2000,50,-4.972609,0.522642,0
33482,1000,50,-10,0,0
2764,50,50,1,0,0
35182,1000,50,-4.951340344,0.695865505,0
63446,2000,50,-5,0,0
89163,2000,50,-2.992692,0,-0.209269
191213,2000,50,-0.996,-0.087,0
136164,2000,50,-4,0,0
33123,2000,50,-2.983566,0.313585,0
1,2000,20,-2.81908,0,1.02606
29691,1000,50,-3,0,0
99772,2000,50,-4.981,0.436,0
32027,1000,50,-2,0,0.035
62118,3000,100,-5.908846518,0,1.041889066
74385,2000,50,-4.924,-0.868,0
85734,3000,100,5.034429174,3.264126665,0
130185,4000,800,-8,0,0
37185,1000,50,-7,0,0
37810,1000,50,-6,0,0
3781,50,50,1,0,0
80565,2000,50,-4.981,-0.436,0
24588,3000,50,-1,0,0
71946,2000,50,-4.981,0,0.436
76975,1500,50,-4.996954135,0,-0.174497484
10524,1500,50,-2.955889,0,0.157008
46340,1000,50,2.97,0.417,0
112756,3000,100,5.034429174,-3.264126665,0
100112,3000,100,-1.701973113,0,-5.753545648
26383,3000,50,-1,0,0
218085,1500,50,-5,0,0
88056,1000,50,-5.9772,0,0.5232
56628,2000,50,-0.996,-0.087,0
36374,1200,120,-2.954423259,0.520944533,0
11935,1500,50,-2.955889,0.157008,0
42806,2000,50,-4.951340344,0,0.695865505
21690,1000,50,-7.956,0,0.836
65010,2000,50,-2.970804206,0,0.417519303
8206,150,100,4,0,0
102986,4000,80,-5,0,0
8,1000,50,-3,0,0.42
24336,1000,50,-3,0,0.42
24,2000,50,-2.992692151,0,-0.209269421
100721,2000,50,-4.924,0,-0.868
49724,1000,50,-7.94,0,0.975
159602,2000,50,-4.924,0.868,0
120793,1500,50,-2.995889,0.157008,0
25255,1000,50,-7.7240661,0,2.070552361
124713,3000,50,-3,0,0
20059,1000,50,-8,0,0
53661,1000,50,-5.9772,0,-0.5232
85476,3000,50,-7,0,0
20442,1000,50,-4.9240388,0,0.8682409
194513,2000,50,-0.985,0,0.174
58154,2000,50,-5,0,0
34294,1000,50,-1,-0.1,-0.2
55082,2500,50,-2.998,0.105,0
13226,1500,150,-4,0,0.5
20378,1000,50,-8,0,0
109443,2000,50,-3.961072275,0.556692404,0
48910,1500,50,-2.992692151,0,-0.209269421
2,1500,50,-2.992692,0,-0.209269
57863,1500,50,-4.951340344,-0.695865505,0
226075,3000,50,-0.9962,-0.0872,0
48062,1000,50,-4.951340344,0,-0.695865505
67041,3000,50,-1.992,0,0.175
57872,1000,50,-7.87846,0,1.38919
70208,1000,25,-4.924038765,0,-0.868240888
65107,2000,50,-2.95,0,-0.52
3147,100,50,-1,0,0
107726,1500,50,-2.977638,0,-0.365608
20163,1000,50,-4.993147674,0,-0.261679781
57491,2000,50,-4.972609,0,-0.522642
68327,1000,50,-4.924,0,-0.8682
38,1500,50,-2.970804206,0.417519303,0
125067,1000,50,-10,0,0
290782,3000,50,-4.924,0,-0.8682
28450,1000,50,-8,0,0
20776,2000,50,-2.970804,0,0.417519
277,2000,100,4,0,0
9453,200,50,4,0,0
55530,1000,50,-4.993147674,0,-0.261679781
132155,2500,50,-10,0,0
51368,1500,50,-4.972609477,0,0.522642316
61454,1000,50,-4,0,0
27540,1000,50,-2,0,0
298449,3000,50,-0.9962,0,-0.0872
114433,1000,50,-1,0,0
58656,2000,50,-5,0,0
64821,2000,50,-10,0,0
41162,1000,50,-2.99,0,0.16
3,5000,50,-2,0,0
24134,1000,50,-7.989,0,0.419
53190,2500,50,-2.954,0,0.521
3,2000,20,-2.88379,0,0.826912
34025,1000,50,-1,0,1
179265,1500,50,-3,0,0
46309,3000,500,-7,0,0
202,1000,50,-7.989036,0,-0.418688
188,2000,50,-7,0,0
87371,2000,50,-9.848,1.736,0
3,5000,50,-5,0,0
315,3000,50,-7.969558,0,0.697246
38464,1000,50,-2.983565686,-0.31358539,0
79279,1000,50,-3.99026,0,0.55669
95986,2000,50,-4,0,0
87396,2000,50,-4.98097349,-0.453778714,0
14349,500,25,-5,0,0
32748,1000,50,-4.951340344,0,-0.695865505
211800,3000,50,-2.968,0,-0.468
154298,1500,50,-5,0,0
38358,2000,50,-4.987820251,-0.348782369,0
119091,1500,50,-2.988584,-0.261467,0
42343,1000,50,-2.0003,0,0
41051,2500,50,-2,0,0
106674,3000,100,5.034429174,0,3.264126665
12002,4000,80,-10,0,0
1,2000,20,-2.98357,0,-0.313585
232660,5000,50,-2,0,0
36529,1500,50,-2.983566,-0.313585,0
12507,500,25,-1,0,0
69536,2000,50,-2.992692,0,-0.209269
284672,3000,50,-0.9848,0,0.1736
6385,150,100,4,0,0
107430,1500,50,-2.995889,0,0.157008
50680,1500,50,-4.924038765,0,-0.868240888
6318,150,100,4,0,0
145502,3000,100,-5.977168189,0.522934456,0
26874,1000,50,-9,0,0
35273,1200,120,-6.973362887,0.610090199,0
33237,1000,50,-1,0.1,0.2
0,2000,20,-5,0,0
64473,2000,50,-2.992692,0,0.209269
27320,1000,25,-0.4997,0,-0.1745
26623,1000,50,-4.951340344,0,-0.695865505
6623,150,100,10,0,0
85,4000,80,-0.985,0.174,0
25992,2000,100,1,0,0
91253,3000,100,5.034429174,0,-3.264126665
17758,1000,50,-3.96107,-0.556692,0
101,1000,50,-1,0,0
58466,2000,50,-2.970804206,-0.417519303,0
14436,1000,50,-3,0,0
94304,1500,50,-4.99315,0.26165,0
3,3000,50,-0.9848,0.1736,0
59525,3000,50,-2.998,-0.261,0
180464,3000,50,-4.924,0,0.8682
61627,2000,50,-4.924,0.868,0
64709,1000,50,-4.993,0,-0.262
36691,1000,50,-1.975,0,-0.313
62918,2000,50,-2.99,0,0.13
3462,150,100,4,0,0
24044,1000,50,-3.96107,0.55669,0
37818,1200,120,-0.984807753,0,0.173648178
6749,150,100,4,0,0
23466,1000,50,-5,0,0
182457,2000,50,-0.996,0.087,0
213892,1500,50,-1,0.5773,0
1183,15,10,4,0,0
51142,3000,100,-6,0,0
56958,2000,50,-2.992692,-0.209269,0
54953,1000,50,-5.994,0,-0.2616
19724,500,25,-5,0,0
41022,2000,50,-4.981,0,0.436
162791,1000,50,-1,0,0
29734,1000,50,-5,0,0
130721,2000,50,-2,0,0
49213,3000,50,-1,-1,0
6132,150,100,4,0,0
24252,1400,350,-6.893654271,0,1.215537244
133173,2000,50,-4.98097349,-0.453778714,0
63874,1000,50,-2.973,0,-0.392
45770,2000,20,-0.93969,-0.34202,0
30946,1000,50,-8,0,0
44837,1000,50,-4.987820251,0,-0.348782369
13484,1500,150,-4,0,0.5
63886,1500,50,-2,0,0
49167,1500,50,-4.996954135,0.174497484,0
30820,1000,50,-7.97,0,0.697
64261,2000,50,-3.997563,0,-0.139597
73585,1000,50,-1,0,0
101245,2500,50,-2.993,0,-0.209
46481,2000,20,-0.99452,0,0.104528
64688,1000,50,-1,0,0
53480,1500,20,-9,0,0
33563,1000,50,-6,0,0
26798,2000,50,-1,0,0
46004,2000,20,-0.98481,-0.173648,0
56300,3000,50,-1.997,0.105,-0.105
19322,1000,250,-4.924038765,0.868240888,0
195414,3000,50,-1,0,0
1,1500,50,-2.992692,0.209269,0
75808,2500,50,-2.998,0,0.105
45509,1500,50,-1,0,0
20820,1000,25,-4.98097349,0,0.435778714
19111,4000,80,-10,0,0
109343,4000,80,-4.924,-0.868,0
29081,1000,50,-7,0,0
78413,1500,50,-3.990256,0,0.279025
27478,3000,50,-1,0,0
68749,2000,50,-4.924,-0.868,0
28182,3000,50,-1,0,0
3660,50,50,1,0,0
35442,1000,50,-1.985,0,0.244
179159,3000,50,-4.924,0.8682,0
30179,2000,50,-9.848,0,-1.736
15915,1500,50,-9,0,0
143,1000,50,-4,0,0
243180,1500,50,-1,0,1
17236,1000,50,-4.972609477,0,0.522642316
31363,1000,50,-4.951340344,0.695865505,0
19316,1000,50,-4.924,0,-0.868
42770,2000,25,-5,0,0
52972,1500,50,-4.924038765,-0.868240888,0
25009,1000,50,-3,0,0
24231,300,100,-1,0,0
33604,1000,50,-0.9961,-0.0871,0
2,1500,50,-2.992692,0,0.209269
382,1000,50,3,0,0
23954,1000,50,-3,0,0
75854,2000,50,-2.98,0,-0.26
88637,3000,100,-1.701973113,5.753545648,0
24861,1000,50,-5,0,0
31563,1000,50,-4.996954,-0.174497,0
21188,1000,50,-2,0,0
46759,3000,50,1,5,0
29090,1000,50,3,0,0
46650,1000,50,-7.902,0,-1.251
21160,500,20,-1,0,0
44925,1000,25,-4.924038765,0,0.868240888
13154,1500,50,-1,0,0
15846,150,100,4,0,0
44255,1000,50,-6.998,0,0
255193,3000,50,5,0,0
51206,2000,50,-3.939231012,0,-0.694592711
20918,1000,50,-3.99026,0,0.279026
73438,1000,50,-4.995,0,-0.218
216054,3000,50,-8.9658,0.7844,0
122494,2000,50,-9,0,0
71416,2000,50,-2.998172,-0.104698,0
293855,2000,50,-2.998172,0.104698,0
29490,1000,50,-1.997,0,-0.105
26424,1500,50,-9,0,0
96532,2000,50,-4.987820251,0,-0.348782369
86940,1000,50,-6,0,0
57287,2000,50,-4.951340344,0.695865505,0
109694,1500,50,-2.988584,0,-0.261467
73814,1000,50,-9.99,0,0
12326,1500,50,-5,0,0
17516,1000,50,-6,0,0
26650,1500,100,-5.908846518,0,1.041889066
13724,1500,50,-5,0,0
57956,2000,50,-4.951340344,0,-0.695865505
47874,1000,50,-3.96107,0.55669,0
24286,1000,25,-5,0,0
92306,1500,50,-4.99315,-0.26165,0
136462,2000,50,-7,0,0
132862,2000,50,-8,0,0
12,2000,50,-2.970804,0,-0.417519
19881,1000,50,-7,0,0
137504,3000,50,-1,0,0
35967,1000,50,-4.987820251,0.348782369,0
159,1000,50,-2.970804206,0.417519303,0
2,1500,50,-2.954423,0,0.520945
93516,3000,100,-1.701973113,-5.753545648,0
65220,1000,50,-1,0,0
157787,1500,50,-1,0,0.5773
97183,1000,50,-2,0,0
31467,1200,120,-2.954423259,0,-0.520944533
88898,4000,80,-0.996,-0.087,0
289,3000,50,-2,0,0
43988,1000,50,-3,0,0
45750,1000,50,-3,0,0
52425,1000,50,-4.938441703,0,0.782172325
38439,2000,50,-4.987820251,0,0.348782369
2,1000,50,-7.898,0,-0.419
21985,2000,50,-2.954423259,0.520944533,0
46662,2000,50,-10,0,0
32045,1000,50,-4.9572243,0,-0.652631
1,2000,20,-3,0,0
54472,3000,50,-0.996,-0.087,0
26935,1200,120,-0.984807753,0.173648178,0
20705,1000,50,-0.9925,0,-0.1218
60341,1200,120,-0.984807753,0,0.173648178
69374,1000,50,-4.957,0,-0.6526
55115,1000,50,-1,0,0
70340,1000,50,-0.9961,0.0871,0
20658,1000,50,-3.99026,0,-0.279026
315761,3000,50,-4.981,0,-0.4358
10450,500,25,-5,0,0
81848,2000,50,-7,0,0
343818,5000,50,-8,0,0
34424,1000,50,-8,0,0
194564,3000,50,-4.981,-0.4358,0
2,1000,50,-1,0,0
15832,750,150,-2.819077862,0,-1.02606043
26563,4000,80,-4.924,0,0.868
39969,1000,50,-2.97,0,-0.417
49771,2000,50,-3.99025,0,-0.279025
17792,1000,50,-4.938441703,0,-0.782172325
117834,1500,50,-2.954423,0.520945,0
65110,3000,50,-1.992,0,-0.175
44404,1500,50,-2,0,0
64504,2000,50,-2.992692,0.209269,0
138616,2000,50,-4,0,0
12136,1500,50,-1,0,0
71703,1000,50,-0.9848,0.1736,0
55386,1000,50,-0.9961,0,-0.0871
75269,1600,400,-6.577848346,0,-2.394141003
73253,1000,50,-3,0,0
36656,1000,50,-2,0,0
45643,1000,50,-4.951340344,0,0.695865505
24994,1000,50,-7.902,0,1.251
1,1000,50,-7.956,0,-0.836
42580,1000,50,-4.996954,0,0.174497
156174,2000,50,-1,0,0
53449,2000,50,-2.954423259,0,0.520944533
56065,1000,50,-8.991,0,-0.3924
26282,1000,50,-5,0,0
85880,1500,50,-2.995889,-0.157008,0
129474,2500,50,-2.998,-0.105,0
84310,1000,50,-1,0,0
127028,1000,50,-2.9544,0,-0.5208
81642,1000,50,-7.878462024,0,1.389185421
2,2000,50,-2.970804,-0.417519,0
29382,3000,50,-1,0,0
49771,1500,50,-4.987820251,-0.348782369,0
76665,2000,50,-2.99,0.13,0
37486,1000,50,-2.992,0,0.2092
38064,1000,50,-4.951340344,-0.695865505,0
2,1500,50,-2.954423,0,-0.520945
29646,1000,50,-9,0,0
727,1000,50,-10,0,0
12614,700,50,-1,0,0
32952,1500,50,-6,0,0
192,1000,50,-2.983565686,0.31358539,0
5922,100,60,4,0,0
8458,150,100,4.9809,0.435778714,0
7584,150,100,4,0,0
21269,1000,50,-1,0,0
6693,150,100,2,0,0
7,1000,50,-1,0,0
51541,2000,50,-1,0,0
42636,1500,50,-3,0,0
23546,1000,50,-5,0,0
15386,800,80,-5,0,0
20285,1000,50,-5,0,0
26171,1000,50,-4.993,0,-0.262
50987,1000,50,-1.975,0,-0.313
25299,1000,50,-2,0,0
30271,500,125,-0.939692621,0.342020143,0
62183,2000,50,-4.951340344,-0.695865505,0
22563,1200,300,-4.924038765,0,0.868240888
13879,150,100,4,0,0
6178,150,100,4,0,0
23331,1000,50,-7.956,0,0.836
10216,1000,50,-3,0,0
210337,3000,50,-4.924,0.8682,0
26584,1000,50,-4,0,0
97012,4000,80,-0.985,-0.174,0
63469,1500,50,-4.996954135,0,0.174497484
221703,2000,50,-6,0,0
59348,2000,50,-1,0,0
88900,1000,50,-3,0,0
224009,3000,50,-8.9658,0,0.7844
50710,1000,50,-2.9544,0,0.5208
5952,150,100,4,0,0
1,1000,50,-7.902,0,1.251
41134,1000,250,-2.954423259,0,0.520944533
43972,2000,50,-10,0,0
63448,2000,50,-2.970804206,0.417519303,0
97956,2000,50,-4.924,0.868,0
4626,2000,50,-2.954423,0.520945,0
21440,1000,50,-4.9952411,0,0.2180969
3,1000,50,-1,0,0
80218,1000,50,-4.981,0,0.4358
26940,1000,50,-7.956,0,-0.836
30609,1000,50,-0.996,0,-0.087
32133,1000,50,-4.938,0,0.782
88709,1000,50,-4,0,0
2,1000,50,-1,0,0
44773,1000,50,-7.997,0,0
360,1000,50,3,0,0
50168,1000,50,-3,0,0
57895,2000,50,-1,0,0
178635,1500,50,-1,0,-0.364
1,1000,50,-7.989,0,-0.419
2,2000,50,-2.970804,0,0.417519
212130,3000,50,-2.998,0,-0.2163
14579,1500,150,-4,0,-2
67435,2000,50,-2.954423,0,0.520945
137090,2000,50,-5,0,0
31537,1000,50,-7.878462024,0,-1.389185421
55927,1500,50,-3,0,0
32387,5000,50,-1,0,0
90237,2000,50,-2.970804,0.417519,0
108818,1000,50,-0.996,-0.087,0
2,1500,50,-2.954423,-0.520945,0
150555,1000,50,-6,0,0
10721,200,100,1,0,0
31020,2500,50,-1,0,0
66046,2000,50,-2.983566,-0.313585,0
28655,1000,50,-7.956175163,0,-0.836227706
107571,2000,50,-4.981,0,0.436
29989,3000,50,-1,0,0
1431,150,100,4,0,0
21113,1500,50,-4,0,0
22911,1000,50,-7,0,0
144620,3000,100,-5.977168189,0.522934456,0
2,1000,50,-4,0,0
77781,1000,50,-7,0,0
133817,2000,50,-10,0,0
68035,2000,50,-2.98,0,0.26
47319,1000,50,-1,0,0
13726,1500,150,-4,0,-0.7
211185,3000,50,-2.998,0.261,0
246808,3000,50,-8.8633,0,1.5628
59015,2000,50,-2.992692151,0,0.209269421
112278,4000,80,-4.981,-0.436,0
139238,3000,100,5.034429174,0,-3.264126665
155987,3000,50,-1,0,0
27731,1000,100,-8,0,0
28399,4000,80,-4.924,0,-0.868
24596,1000,50,-4.993,0,0.262
54637,1500,20,-7,0,0
27517,1000,50,-7,0,0
94865,2000,50,-10,0,0
61381,1000,50,-8.8632,0,-1.5624
70369,1000,50,-2.98,0,-0.26
57564,1000,50,-5.994,0,0.2616
138762,2000,50,-0.996,0,-0.087
26921,1000,50,-8,0,0
183838,1500,50,-1,0,0.364
127759,3000,100,-5.908846518,0,-1.041889066
23918,1000,50,-4.9240388,0,0.8682409
2,1500,50,-2.954423,0.520945,0
47831,1000,50,-6,0,0
48482,1000,50,-1.989,0,-0.209
213432,1500,50,-1,0.176,0
60524,2000,50,-5,0,0
82186,4000,50,-1,0,0
37531,1000,50,-2.95,0,0.52
20822,1200,120,-4.924038765,0,0.868240888
20380,1000,50,-0.9925,0.1218,0
10191,1000,50,-5,0,0
8254,150,100,4,0,0
27713,1000,50,-1,0,0
24213,1200,120,-6.973362887,0,0.610090199
1,1500,50,-2.983566,0.313585,0
61046,2000,50,-4.972609,-0.522642,0
214909,5000,50,-1,0,0
129681,2500,50,-6,0,0
36987,1000,50,-2.992,0,-0.2092
2,1000,50,-7.956,0,0.836
23701,1000,50,-4.973,0,0.523
65218,3000,50,-3,0,0
33578,5000,50,-1,0,0
132128,2000,50,-0.985,0,-0.174
76327,1000,50,-2.997,0,-0.16
8693,1000,50,-1,0,0
59761,1000,50,-5.9088,0,1.0416
3558,150,100,4,0,0
136678,3000,100,-5.977168189,-0.522934456,0
164576,1500,50,-0.996,0,-0.087
64964,1000,50,-1,0,0
2,2000,20,-0.93969,0.34202,0
28974,150,50,-1,0,0
123449,2000,50,-3,0,0
172037,1500,50,-1,0,-0.176
67833,1000,50,-1.985,0,-0.244
59,1000,50,-5,0,0
43684,1500,50,-2.983566,-0.313585,0
17213,1000,50,-6,0,0
66229,3000,50,-1.992,0,-0.175
24939,1000,50,-6,0,0
61493,2000,50,-7,0,0
19236,1000,50,-3.99026,0,0.279026
44118,1000,50,-7.902,0,1.251
29426,1000,50,-3,0,0
33218,1500,50,-2,0,0
30595,1000,50,-6,0,0
150239,1500,50,-0.996,0.087,0
48738,1000,100,-3,0,0
187709,3000,50,-3,0,0
71159,2000,50,-7,0,0
14776,2000,50,-2.970804,-0.417519,0
98844,2500,50,-3,0,0
51207,1000,50,2.98,0,-0.3135
21570,1000,50,-0.9961,0.0871,0
65135,2000,50,-2.983566,0,-0.313585
30479,3000,50,-1,0,0
74367,1500,50,-4.9627,0.60935,0
3,1500,50,-2.988584,-0.261467,0
35416,2000,50,-10,0,0
16347,1000,50,-1,0,0
64767,2500,50,-4,0,0
10786,360,40,8,0,0
121612,2000,400,-4,0,0
24890,1200,300,-4.698463104,0,-1.710100717
33669,2000,50,-7,0,0
22358,1000,50,-9,0,0
24080,1000,50,-4.938,0,-0.782
225676,3000,50,-8.8633,-1.5628,0
45469,1500,50,-4.924038765,0.868240888,0
46244,2000,20,-0.99452,0,-0.104528
21993,1000,50,-5,0,0
70253,2000,50,-2.998172,0.104698,0
31198,3000,50,-1,0,0
17959,1000,50,-8,0,0
