runtime,in01,in02,in03,in04
739,38,-40,0,-135
4724,38.7,82.69,12.69,84.1
6956,37.5,14,0,-49.5
1233,37.9,82.69,7.5,79.2
7763,38.054,-94.6,0,90.6
1580,38.3,70,0,63.5
776,38,80,10,68
5754,38,82.4,12.69,67
1253,38.7,82.69,12.69,84.1
1317,38.7,82.69,12.69,84.1
1973,37.2,57,-12,52
73,38.6,180,0,-12
812,37.7,0,0,-49.3
4113,38.7,60,0,46.6
1319,38.1,70,0,65
1168,20,13,0,0
2056,39,55,0,75
1513,38,0,0,-43.7
2171,38.7,60.21,12.69,40.96
1035,35,55,0,75
8571,39,90,0,135
1240,37.9,90,12.69,86.89
1776,37.55,0,10,10
1744,37.7,0,0,-55.8
17885,38.03,90,0,96
8799,37.7,90,12.69,70
789,38.7,82.69,12.69,75.41
3930,38.7,82.69,12.69,84.1
8050,39,82,12,84
973,38.5,85,90,44.1
1592,37.7,0,0,-65
1479,38,45,0,19.15
2366,38.2,100,0,75
4951,37.7,45,0,18.7
1227,38.2,90,0,101.36
546,37.75,0,0,-57
3369,30.7,82.69,12.69,90
3036,38.7,82.69,0,88
4364,38,90,0,75
6861,37,82.69,56,60
1650,39,-60,0,-180
2059,38,90,45,70
606,31,90,0,90
6554,38.7,90,0,75
14818,37.95,45.3,0,19.5
1999,38.7,60,0,-180
3808,38.7,82.69,12.69,75.44
4036,39,-90,0,-180
6344,38.1,70,0,60.5
908,37.8,0,0,-47.2
2020,39,80,0,65
2117,12,-10,-90,0
3641,38,94,13,73
8042,37.9,0,0,-45.5
770,37.85,150,0,-114.42
2332,38.7,82.69,12.69,75.7
4151,39,-180,-180,0
3428,30,90,0,120
9841,38.7,-30,0,-130
7525,38.7,82.69,12.69,84.1
990,39,100,0,75
2034,39,60,0,80
699,38.055,95,0,90
1126,26,67,0,25
31689,38.7,90,0,110
3595,38.7,-10,0,-50
236,30,0,0,-25
2390,38.058,-90,0,92
16134,38.7,89,-0.5,100
3650,37.89,110,90,52.8
3548,38.7,-40,0,-80
8744,37.5,-140,0,20
11615,38.7,-30,0,-140
951,37.7,0,0,-66.4
2152,38.65,30,-15,0
2180,39,60,0,75
4562,38.41,90,0,97.1
1181,39,90,0,72
5647,38,82.69,12.69,84.1
3137,39,80,0,100
5207,38,45,0,27
1942,37.9,0,0,-50
405,38.3,83.75,14.01,75.1
1865,38,44.5,0,19.5
4179,39,-149.98,179.98,179.48
39,12,82,82,20
3959,38.7,48,0,29.8
2787,38.7,82.69,12.69,20
2270,38.1,-120,0,55.5
8717,38.7,74,0,71
1483,38.7,12.7,12.69,90
6607,38.7,90,0,0
904,37.5,90,0,99.7
1425,38.6,82.69,12.69,75.41
21112,37.6,0,0,-66.5
3898,38.7,15,0,-20
2871,37,82.69,12.69,84.1
884,38.7,82.69,12.69,75.7
17298,37.96,-60,-30,-135
1160,35,45,0,-20
670,36,90,90,72.5
17894,38,83.69,12.69,84.1
3104,38.7,92.84,12.69,84.1
5124,39,-180,-180,-140
10556,38.7,82.69,12.69,75.5
1373,38.7,90,0,75.25
5487,38.7,90,0,40
6601,37.6,45,90,109
1078,38.7,82.69,12.69,75
1624,16.7,0,0,0
2541,17,90,0,45
1677,36,-60,0,110
7992,38,45,0,19
1085,3,5,0,180
5341,37.8,50,12.69,18
4768,38,66.4,0,56.51
503,37.78,0,0,-50.36
742,38.9,0,0,0
8168,35,45,0,12
2996,38.8,70,0,64
888,38.6,82.69,12.69,84.1
229,20,0,0,20
965,37.64,87,90,33
883,38.125,90,0,97.143
765,37.85,150,0,-114.41
1394,38,45,0,19.17
1581,38,118,0,127.2
3522,38.1,80,10,70.5
7175,38.7,60,-10.01,53.68
8688,37.8,0,0,-49.8
2663,33,90,0,180
21463,37.8,60,0,49
1850,39,-150,-180,-160
981,38,13,30,-90
893,38.7,82.69,12.69,80.1
5246,37.7,0,0,-55.85
3366,37.8,90,0,40
2297,38.7,97.31,180,-95.9
26733,38,81.7,12.69,68.6
2324,14,90,0,0
