runtime,in01,in02,in03,in04
2515,30,60,40,90
2359,38,90,0,110
4447,38.7,82.69,12.69,75.5
3692,35,45,0,110
17544,34,90,0,130
17189,38.7,70,0,62.3
915,37.67,90,90,33
2275,38.7,82.69,12.69,77.5
2299,38.7,64.75,0,52.9
872,39,45,0,15
626,37.5,0,0,40
9168,37,80,9,86
2779,39,82.69,12.69,84.1
2914,38,90,0,94
4268,38,85,90,41
3949,37.75,0,0,-48.5
2065,37,45,0,16.6
5448,39,63.5,0,55
15628,38.3,90,0,100
1036,37.9,0,0,-45.85
5141,37.7,0,0,-20
1366,39,60,0,47.4
3387,37.5,-132.5,0,50
7001,37.9,45,0,17.6
5612,38.5,70,-90,135
853,35,90,0,102.0577
3955,38.7,90,0,-45
383,37.8,0,0,-49.5
2595,35.5,-65,0,135
2968,38.7,45,12.69,45
1185,38.05,65,0,49
2368,38.7,180,90,-179
5401,38,40,0,24.5
4455,38.7,70,10,80
883,37.8,110,90,60
980,38.2,90,0,102.5
849,27,-146,135,-135
1511,30,80,15,70
3319,38.7,82.69,12.69,60
931,38.7,82.69,12.69,81.1
6512,38.7,82.69,12.69,84.1
1900,37.68,0,0,-59
7319,38.04,-90,0,97
4665,39,82.69,12.69,84.1
2338,38.1,-120,0,56.9
4874,38.2,80,0,81.5
765,38,82.69,12.69,71.7
4208,38,70,0,59.65
7455,38.23,90,0,100
955,38.5,-30,0,-85
1158,37.74,30,0,-13
1210,38.3,85,15,80.5
1427,38.05,60,0,110
1689,29,90,0,97
3288,38,0,0,-42.5
29,0,82.69,12.69,84.1
11377,38,45,0,18
3016,30,90,12.69,84.1
737,38,-40,0,-130
6948,37.7,0,0,54.8
3574,38.4,66.4,0,56.49
7574,38.5,90,0,97.5
976,39,-45,0,-100
663,38.6,82.69,12.69,75.43
1187,37.8,0,0,-51.8
5407,37,5,0,-46.4
1898,37.5,0,0,0
1356,28,-135,135,-130
913,39,60,0,70
11433,38,81.2,12.69,67
1291,15,90,0,20
1264,38.2,90,12.7,87
6467,38.7,65,12.69,58
1494,38,45,0,18.85
5289,38,45,0,23
1846,37.5,82.69,12.69,85
968,38,82.69,12.69,72.9
1325,38.3,80,0,81
11021,38.9,90.1,0,100.9
5665,35.7,82.69,12.69,75
730,35,90,0,0
2146,30,90,0,90
11197,39,59.5,0,46.6
6741,37.7,0,0,54.5
6406,38.3,90,0,100
7609,38.7,74,0,70.75
9920,38,-70,-120,-85
2727,38.3,82.69,12.69,78.4
4762,37.7,50,12.69,15.3
890,38,90,0,108
2017,38.7,82.69,12.69,72
3498,37.9,0,0,-52
1021,39,85,0,105
4055,37.78,30.1,0,-9
4920,38,-120,0,56.66
341,37.78,0,0,-50.37
888,37.9,90,45,63.3
8595,38.7,45,0,60
2356,39,-180,-180,-100
5202,38.7,82.69,12.69,82
10206,38.05,-90,0,97.31
5159,37.8,-31.5,0,-111
7498,35,90,0,-60
775,38.1,90,0,20
631,29,90,0,97.471
14363,37,-10,12.69,84.1
8778,38,30,0,-4.1
5136,38.7,90,0,-90
738,38,-135,0,-135
4788,38.7,45,12.69,21.4
3306,35,80,0,70
923,39,102,0,127
2819,39,90,0,40
1256,37.69,0,0,-56.26
1365,38.7,82.69,12.69,74.9
8898,38,90,20,84.1
1409,39,90,0,100
2651,38.7,82.5,12.69,84.1
7782,37.7,0,0,-55
2653,33,45,0,25
1475,37.6,0,0,-63.5
3019,33,30,0,0
6442,37.71,15,15,-42.4
2979,38,82.5,12.5,72.4
1832,37.8,135,90,109
1348,38.7,89.89,19.89,83.1
5699,38.7,82.69,12.69,81.6
5516,38,45,0,18
1004,38.7,-82.69,0,165
1136,38,0,0,-80
764,38.5,-49,0,-101.4
10075,38.7,-82.69,120,84.1
10312,38.2,79.69,12.69,88.1
4054,38.7,82.69,12.69,84.1
12301,37.98,60.01,0,41.21
2630,38.7,82.69,12.69,80
2647,38.7,82.69,12.69,84.1
71,2,82.69,12.69,84.1
4807,30,40,150,180
1061,37.66,0,0,-56.05
4848,39,82.69,0,30
869,38.03,90,0,92.2
3075,20,82.69,12.69,75.4
4386,38.7,84,12.69,35
1331,37,60,0,53
14980,37.92,44.7,0,20.3
2626,38.65,75,75,45
1527,38.05,68.3,0,59.35
196,30,90,90,0
2548,25,90,0,150
1275,37.85,-30,0,-101.5
201,28,10,0,19
7597,38.7,74,0,70.8
1555,28,-135,135,-121
3891,38.03,90,0,97.3
2545,38.7,82.69,12.69,84.1
5035,38.7,82.69,13,83
16876,38.7,60,0,41.5
2024,37.5,90,0,136
1059,38.7,82,12.69,74.8
667,37.7,0,0,-56.4
2940,38.7,82.69,12.69,77.6
6936,38.7,86,0,86.3
4133,38,143,74,140
2517,37.84,-30,0,-104.1
216,38.7,180,0,-140
1139,38.5,90,0,101.445
1514,37.67,0,0,-56.2
850,37.75,30,0,-5
16783,38,82.5,0,82.5
19098,38,60,0,41.2
5938,38.7,-90,180,-90
1550,37.84,-30,0,-104.3
31597,30,45,0,84.1
1031,38.7,82.69,12.69,75.4
1146,38.08,-120,0,56.9
16096,10,90,0,0
2644,38.5,90,0,102.1
1214,37.74,29,0,-9
1891,30,72.32,32.87,26.34
599,37.7,0,0,-56
13787,35,90,0,-45
5432,37,82.69,12.69,84.1
931,26,53,0,25
6191,38,90,0,90
983,38,82.69,12.69,73.8
1404,20,100,0,60
771,39,60,0,45
797,35,9,0,19
1146,37.7,13,30,-90
849,38,0,0,0
108,38.7,-180,0,90
2552,38,70,0,60
875,39,60,0,30
1677,39,82.69,12.69,84
1376,37.9,-33,0,-122
2221,38.7,-82.69,46,84.1
3448,38.067,-90,0,92
4408,37.77,80,10,92.3
5544,30,75,0,70
25391,38.7,82.69,12.69,84.1
1498,38.7,82.69,0,70
778,35,78,12.69,84.1
1044,38.7,80,60,84.1
6322,38.9,-90,0,120
7628,38.2,90,12.69,85.2
6731,38,-90,0,90
2961,39,100,25,100
265,20,20,40,50
3457,39,75,0,70
2084,37.8,0,0,-53.4
3555,30,82.69,12.69,84.1
2800,37.4,-180,-180,20
1669,38.1,82.69,12.69,74.6
13897,38.7,82.69,12.69,140
347,35,10.3,12.69,-15.3
5750,35,-20,12.69,84.1
5192,38,82.69,0,90.5
740,39,92.69,12.69,84.1
1079,38.7,0,20,0
1179,39,-45,0,-70
11492,38,-120,0,55.8
24617,37.7,45,0,18.2
8867,38.4,88,8,86
12229,38,90,0,160
1274,37,75,12.69,90
1361,39,0,0,40
4736,38.7,0,0,-30
2712,39,25,0,2
9891,37,90,20,84.1
3586,38,72.33,0,55
26559,38,45,0,26.1
5858,38.2,75,0,75
5434,37.79,30,0,-8.25
1949,38.7,80.69,12.69,72.35
4862,38.7,80,20,80
31896,37.97,82.69,12.69,76
4119,38.58,90,0,97.1
3691,39,82.69,12.69,68
988,38,55,0,100
14655,37.9,82.69,12.69,72.8
1146,37.6,0,0,-62
1886,33,88,10,86
90,12,-120,70,84.1
2737,39,-150,0,84.1
1890,37,82.69,12.69,70
1349,38,85,12.69,73
6665,38,82.69,12.69,84.1
1842,38.6,90,0,102
851,39,59.9,0,47
6472,38.2,75,0,76
8664,38.7,60,20,40
9528,38.7,-180,180,160
2617,38.7,89,12.69,84.1
7745,35,80,15,80
5470,38.5,90,0,101.1
9834,38.7,82,12.69,78
3056,39,82.69,0,90
5722,38.3,90,0,99
3200,38.5,82.69,12.69,75.6
1294,38.7,82.69,12.69,84.1
3826,38.7,83,12.69,84.1
1742,38,82.69,0,80
1827,38,90,90,84.1
8963,30,82.69,12.69,84.1
1741,33,0,15,15
770,38,90,0,0
3945,36.75,39,15,135
8998,38.4,90,0,100
2245,37.8,90,90,46
1232,38.054,-94.9,0,90
17212,39,82.69,12.69,77
832,36,70,0,155
8804,38,90,45,84.1
4105,37.9,90,0,45
119,30,90,90,90
9480,34,-45,-90,-30
2333,38.7,84.85,13.69,80.5
737,38.7,82.69,12.69,76.44
6584,38.7,60,0,46.8
2502,39,45,0,40
9659,38.055,-95,0,89.97
3681,38.9,82.69,12.69,84.1
10292,38.5,90,0,-60
1215,38,25,0,10
7326,35,-130,180,-170
4036,38.05,85,12.69,71.5
5183,39,-180,-180,-110
577,38.3,82.69,12.69,74.5
352,38.9,15,-75,30.6
1619,38.7,0,12.69,84.1
13957,38,45,0,22
2586,39,60,0,40
8353,38.7,82.69,12.69,75.9
1123,37.7,0,0,-49
23906,37.71,15,15,-42.7
1413,37.7,30,0,-5
1625,38.7,82.69,12.69,93
7320,38,90,45,64.65
3517,38.456,100,0,0
1154,38,-115,0,53.9
2675,38.059,-90,0,91.95
1358,38,0,0,-100
9816,37,90,12.69,75
8554,38.23,90,0,99.9
3868,37.84,-30,0,-104.38
2761,38,30,0,-19
4079,30,82.69,12.69,84.1
2541,38.052,-93,0,89.7
4058,39,25,95,100
8138,35,45,0,14
7839,36,90,0,110
2350,37.7,50,12.69,18.7
3086,38.5,90,0,127.8754
4498,38.7,-20,0,-10
1900,38.7,82.69,12.69,84.1
2831,35,80,15,80
760,30,0,12.69,84.1
2381,37,50,0,90
9891,38.7,90,20,84.1
5202,29,90,0,125
21697,39,0,0,-22.5
13673,38.05,-90,0,97.28
1003,38.5,90,0,84
2997,38.5,66.2,0,56.58
20211,37.8,40,0,7
2297,37.1,45,90,109
1911,38,82.69,12.69,68
4874,39,46,0,25
3940,39,65.2,0,55
2501,38.1,70,0,60.5
1104,38.2,90,0,99.8
5315,38.7,82.69,12.69,84.1
1036,39,92.69,12.69,84.1
1033,39,0,0,30
300,7,0,0,0
4343,37.5,150,0,-100
3194,38.1,82.69,0,82.6
2319,38.7,102.69,12.69,157.25
95,10,179.8,0,84.1
641,37.78,0,0,-50.309
2742,25,30,0,20
1756,38.2,90,0,99.74
5244,38,0,0,-51
5257,38,45,0,16
23243,38.4,90,12.69,71
2272,38,105,0,110
519,16.7,0,25,90
1641,36,50,0,110
5161,38,82.6,12.69,67
2252,38.5,90,0,102
1028,38.7,82.69,12.69,91
1464,38.7,60,0,45
3652,38.7,82.69,12.69,110
23039,38.8,82.69,12.69,84.1
7826,38.7,110,20,122
1179,38.7,82.69,12.69,34.7
3570,37.9,75,0,80
8207,37.7,110,12.69,70
91,17.5,60,70,120
593,38,45,0,19
4535,35,80,13,123
6457,38.5,90,0,103.5
1603,38,5.6,0,-5.6
2214,37.7,82.68,12.68,84.09
857,26,28,0,20
5519,38,45,0,10
469,5,90,0,90
1475,15,82.69,12.69,84.1
2293,38.4,-60,0,-144
1923,39,45,0,65
7384,38.7,82.69,12.69,84.1
4654,38.4,90,12.69,75
1582,38.05,65,0,55
9932,37.69,0,0,-56
443,38.4,90,0,101.7
3022,38,90,90,36.75
9267,36,20,0,90
1370,37.78,0,0,-46
748,37.85,150,0,-114.45
852,17,30,0,90
1295,37.7,76.69,12.69,75.1
1141,37.98,45,0,17.5
3853,34.2,-65,0,135
14172,29,90,0,65
6753,39,110,12.69,11.6
4442,38.055,-90,0,91
15228,38.23,90,0,99.68
2327,29,82.69,12.69,56
4139,39,20,95,100
1132,38.5,57.69,12.69,84.1
1141,38.2,90,10,120
10192,37.7,50,12.69,15.38
1660,37.78,0,0,-49.5
1613,20,0,-90,0
1198,37.95,-118,0,46.6
846,38,30,0,-120
1100,38.2,90,0,101.8
1801,38.7,90,12.69,88.45
4956,38,90,90,42.88
2045,35,45,0,10
1173,38.7,45,0,90
1077,38.056,-90,0,92
11266,38.7,82.69,12.69,73
922,38.2,90,0,102
1060,38.2,90,0,101
481,35,9,0,30
987,39,100,0,45
5558,37.81,0,0,-49.55
4478,38,90,90,39
2316,38.7,83,12,84
23924,38,49,0,25.8
2603,37.7,92,0,40
2605,38.7,84.85,13.69,78
5566,38.7,82.69,12.69,76
5614,37.8,50.02,12.69,15.4
2018,38.055,-95,9,90.1
1449,38.05,65,0,52.9
8292,37,95,20,87
2511,37.75,82.66,12.66,84.07
1265,39,-45,0,-50
3399,39,-60,0,-120
1981,38.08,-90,0,101.9558753
2087,39,-180,-180,160
3455,38,0,0,-84.1
1452,37.7,0,0,-57
2443,38.05,90,45,70
6821,37.74,90,0,103.74
8431,37.5,90,0,103.5
1663,38.7,82.69,12.69,75.5
10252,38.05,-90,0,97.4
6789,38.7,170,65,-157.45
2194,38.4,90,0,101
4117,28.9,-135,135,-116
14254,39,75,0,30
2457,30,-90,0,0
683,38,0,0,-15
904,37.75,28.5,0,-13.3
6918,38.23,90,0,99.74
819,37,0,0,-15
2204,20,82.69,12.69,84.1
134,38.7,178,0,90
984,37.68,0,0,-62
727,38.7,100.69,-10.11,100.11
1297,37.69,0,0,-56.2
10594,37.9,0,0,-46
794,37.5,82.69,12.69,78
2402,37.8,0,0,-48.8
8243,37.7,0,0,-54.5
6331,38.7,-65,0,120
2580,38.95,89.69,9.69,92.1
2428,38,90,90,42.838
2914,35,48,0,90
1212,28,-135,135,-133
525,37.9,150,0,-114.33
2754,37.6,82.69,74,140
2268,30,-50,0,84.1
925,29,82.69,12.69,84.1
16084,38.15,90,0,103
3879,35,85,0,70
5577,38.7,82.69,12.69,75.46
799,38.1,86.4,17.2,73.7
2414,37.8,45,0,18.8
2489,30,60,40,30
1106,38.7,180,90,-180
47,27.9,-135,135,-118
992,38.7,82.69,12.69,75.51
1632,37.75,90,90,84.1
2555,38,85,12.69,74.9
1102,38.7,100,12.69,77
1387,37.75,0,0,-52
2495,39,-180,-180,130
12929,38.1,49.2,0,24.7
2056,38.7,90,0,102.4
1426,37.5,15,0,-70
9013,38.734,82.69,12.69,84.1
1809,26.75,35,90,-120
18140,38,84.69,12.69,84.1
9213,38.7,60,12.69,84.1
3360,37.5,-131.5,0,50
2124,38.7,30,12.69,0
1207,38.3,85,15,79.5
1839,39,-180,-180,80
906,38,-40,0,-121.4
1178,38.05,85,13,70
1789,38.1,0,0,-43
9174,38.7,26.5,0,0
883,38,82.69,12.69,72.5
7867,38.7,82.69,12.69,76.1
316,38.7,90,12.69,88.3999999
764,37.5,0,0,-30
1352,38.03,90,0,92
3098,38,87,12.69,74.5
4048,38.5802,90,0,98.12
2437,38.0554,-90,0,101.9558753
15204,35,70,0,90
5487,38.1,90,0,102.5
4363,39,45,0,25.2
624,38.7,49.1,0,30
1536,38.2,37.69,12.69,6
1426,37.5,105,0,105
3089,36,82.69,12.69,84.1
1994,39,80,0,85
1353,38.7,-110,180,-119
6937,37.95,-95,0,105
2120,38.7,82.69,12.69,84.1
1694,38.7,82.69,12.69,84.1
3966,38.38,90,0,104
604,37.7,0,0,-49.5
2522,38.67,82.69,12.69,84.1
11511,37.95,45.5,0,19.4
2066,38.7,60,0,49
853,23,85,0,70
7329,38.8,-90,0,135
6919,38.05,82.69,12.69,74
7902,38.03,90,0,100.3
6029,39,135,90,115
965,26,83,0,25
1337,38.3,90,0,101.4
2780,38.7,90,12.69,88.6
3887,38,73,0,55
926,38.5,90,0,110.556973
9351,38,110,90,60
1022,37.5,90,0,114
6893,37.7,160,12.69,80
138,8,120,0,90
4392,38,72.69,12.69,56
2351,38.7,82.69,12.69,84.1
10829,38,45,0,20
1482,37.9,33,0,0
2093,39,50,0,80
4146,39,90,0,20
1597,38.04,90,0,103
5902,38.7,77,0,66
5125,38.03,90,0,99.1
840,38.3,82.69,12.69,74.5
2965,38.3,90,0,101
1385,38,90,90,35.4
1191,37.9,45,12.69,65
1790,38.05,-90,0,92
9852,38.7,100,12.69,104
30,15,90,-90,0
5174,38.7,82.69,12.69,74.5
969,39,102,0,120
853,38.7,82.69,12.69,84.1
2858,37.95,-116,0,43.75
27222,39,0,0,-21.5
5480,38.5,90,0,101.2
1423,38.1,82.69,12.69,72.84
897,26,90,0,97.5
1514,38.05,-90,0,97.15
2965,38,60,0,41.5
1053,38.7,82.69,12.69,82.1
4395,38.31,90,90,103.54
1121,39,-90,0,0
2468,39,71,0,72
2662,38,139,90,115.09
1949,38,90,0,100
2162,39,-90,0,170
1652,38,82,12,69.2
2179,29.67,87.46,23.45,89.99
763,38,82.69,12.69,75.1
6974,38.1,75,0,88
4832,38.3,70,0,54
766,39,80,0,80.85
3350,39,45,0,30
1101,35,82.69,12.69,84.1
2045,38.1,82.69,0,80.5
598,29,90,0,87.5
16216,38.7,90,0,45
2462,37.71,82.68,12.68,84.09
2603,25,0,45,60
206,20,50,70,-50
1673,36,70,0,125
2967,38.518,90,0,96.5
1963,38,0,0,100
8039,30,45,12.69,84.1
5506,24,48,0,150
764,37.8,82.69,12.69,84.1
2508,39,80,0,85
4290,25,95,25,84.1
9838,38.2,49,0,25.05
3672,16.7,90,16,0
5811,38.1,82.69,12.69,73
2561,37.7,60,0,45
981,37,90,0,75
3420,11.2,76.45,0,84.1
1681,38,-40,0,-120.4
1151,37.4,30,0,-7.4
1066,39,-50,0,-111
3839,37.9,100,90,57.9
1506,25,90,0,105
3799,30,-150,180,15
912,37,30,0,-5
1278,29,0,-90,-90
1207,38.4,90,0,102
1395,35,75,135,180
2388,37.8,45,0,18
920,38.7,82.69,12.69,80
6685,35,88,16,87
2180,38.4,65,0,63
1009,38.5,85.69,12.69,84.1
2386,36,90,0,14.56
15273,38.7,60,0,40
2080,38.3,96.34,13,75.43
1790,38,90,45,64.5
3068,39,90,0,90
1400,38.7,82.69,12.69,84.1
6420,38.1,35,0,60
886,37.5,-156.51,0,-20
7117,37.5,-141,0,20
6814,39,90,0,103
2437,37.7,92,0,-35
7726,37.79,30,0,-8.287
8175,38.7,85.69,12.69,84.1
8654,38.05,-120,0,55.5
3541,38.7,49,0,30
1595,37.9,45,20,83
1528,37.5,0,0,-60
1291,34.7,50.69,12.69,84.1
927,37.7,0,0,-49.5
1021,38.5,90,0,85.083
144,8,-45,0,0
30578,25,90,0,105
1426,39,60,0,48.1
1193,38.7,135,0,75.25
1437,38,-115,0,54.4
1172,38.7,82.69,12.69,77
3917,38.7,90,0,-180
3308,38.7,20,0,-10
1683,38,82.69,12.69,71.3
6421,38.7,-150,-90,128.4
1378,38.58,90,0,84.1
945,39,-40,0,-93
2250,36,55,0,20
593,38.1,-120,0,56.3
3553,38.7,60,0,47
1178,38.7,84,12.69,84.1
754,38.5,90,0,101.345
1260,38.7,82.69,12.69,76
4579,38.1,90,0,104.7
1640,38,82.69,12.69,73
1940,38,-10,-50,-147
1810,38,60,0,58
189,20,5,0,20
3650,12,75,0,150
359,35,0,5,0
2415,38.7,81,12.69,84.1
2402,31,70,0,50
2244,38,139,90,115.12
5102,39,-180,-180,-130
1051,37.7,30,0,-7
2270,38.197,90,0,0
2707,38.4,90,0,102
3145,38.7,82.69,12.69,84.1
7381,38.4,85,0,90
2128,37.7,90,90,33.62
1038,38.16,74.95,0,70
10293,39,90,0,101.1
4377,37.78,0,0,-44.8
702,37.98,45,0,19
4311,38.05,-90,0,94.38
1915,38,82.69,12.69,71
595,37.99,45.1,0,18.98
1057,38.7,37.5,12.69,84.1
28447,39,0,0,-23
8776,38.3,90,0,101.46
730,38.7,-110,120,-100
1138,38.7,-50,12.69,-115
2447,37,70,0,71.41
11956,38,45,0,20
1499,38.5,85,90,34
9291,35,48,0,81
1859,37.72,0,0,-52
10318,39,26.1,0,0
3706,38.7,85,12.69,84.1
1311,38.5,90,0,105.750183
4460,37.7,82.69,12.69,73
12088,38,90,0,155
1254,38.05,-90,0,97.08
3516,38.7,60,-10,70
5442,39,110,0,90
2926,33.5,75,0,70
2284,38.5,-120,0,60
4240,37.9,0,0,-50.3
2003,38,80,12,60
2080,37.9,-80,-50,-146
2060,38,45,0,19.09
4088,38.7,82.69,12.69,76
1777,38,82.5,12.5,72.1
1268,37.75,150,0,-115.7
3141,37.8,90,90,50.6
15192,38.1,88,8.4,84.5
5983,39,82.69,12.69,70
1674,38.7,82.69,12.69,75.4
1323,39,-50,0,-107.5
2531,38.4,82.69,12.69,75
979,39,0,0,-180
6221,37.98,45,0,17.8
6371,38.1,82.69,12.69,75.25
914,38.7,0,0,-5
10278,38.7,-82.69,120,64
4123,38.05,-90,0,92.1
5483,33,45,12.69,23
2331,37.8,90,90,35
1645,38.5,87.55,12.69,84.1
1012,37.7,80,30,65
2048,37,66,0,56.5
890,35,45,0,40
9716,38.7,82.69,12,84.1
27669,38.5,45,0,25
3742,38.4,66.4,0,56.53
4003,36,90,0,97.162
1169,38.5,90,0,108.781
1235,38,82.69,12.69,73.5
5459,38.7,62,0,80.1
1039,38.2,17.69,12.69,-16
496,29,90,0,97.38
1428,38,45,0,25
1033,38.3,90,0,101.48
6204,38.4,180,90,-168
4557,37.7,0,0,-45
759,38.7,82.69,12.69,75.9
2072,38,97.31,-167.31,50
17901,38.7,45,12.7,19
3454,38.5,82.69,12.69,84.1
3265,38,90,0,107
4680,38,48,0,19
2359,38.2,90,0,97
785,38.7,82.69,12.69,79.1
2738,38,87,12.69,78.5
1230,38.7,82.69,12.69,74
2124,37.73,50,12.69,14.5
7722,39,90,0,0
6673,38.7,82.69,12.69,78
2656,37.5,-156.3,0,-20
1294,37.8,150,0,-115.2
1371,38,30,0,-5
2203,39,90,0,104
4753,38.7,84,12.69,84.1
8268,37.9,85,90,33.1
1415,38.2,17.69,12.69,-17
1484,17,100,15,90
14492,38.7,82.69,12.69,82
3219,37.5,30,0,-8
1342,37.77,10,10,-34.4
5206,38,5,90,180
5193,39,-180,-180,-120
23630,38,49,0,26
1388,38.5,90,0,83.12487
42,39,180,0,84.1
2014,38.68,90,0,101.5
2314,37.9,-120,0,65
940,37.7,0,0,-49.5
5092,38.7,80,20,110
11682,38.45,90,20,82
1736,38.2,82.69,12.69,75.4
772,38.7,82.69,12.69,81.5
349,37.98,45.5,0,19.1
2835,38.7,82.69,12.69,73.5
3089,38.7,82.69,12.69,79
1425,37.5,90,0,124
6688,38,81.4,12.69,67
4715,38.45,90,0,102.7
12116,37.88,0,0,-50.3
2826,39,56,0,30
5579,37.74,50,12.69,15.34
11422,37.8,56,12.69,25
551,38.7,60,-10,53.75
2477,39,66.5,0,55
6096,30.1,90,0,97.162
2542,38.7,90,0,101
7546,38.7,50,0,30
13956,38.6,90,19.9,82
31865,38.3,82.69,12.69,67
2003,38.055,-95,9,89.8
998,38.053,-93,0,90
7813,38.03,90,0,100.4
618,38.7,60,-10,53.81
948,38.7,90,90,50
4844,37.8,0.5,11,48.5
1334,38.3,82.69,12.69,84.1
3170,35,90,12.69,90
2432,36.5,75,0,70
13868,38.7,82.69,12.69,82.5
5854,39,82.69,0,10
2203,38,30,0,8
2797,37.6,10,0,-50
38,29,-135,135,-116
39,30.6,90,0,97.162
14759,23.11,89.8,12.69,48.28
668,38.21,90,0,99.8
1009,38.7,82.69,12.69,82.22
2364,38,110,0,100
914,38,82.69,12.69,66.2
1319,37.69,0,0,-57.1
2164,37.6,30,0,-180
607,38.9,90,0,101.3
2594,11,60,0,90
1660,37.7,0,0,-45.8
1349,38.08,-120,0,57.2
38,29,-135,135,-115.5
17370,38,180,110,-140
2554,30,30,0,84.1
1444,37,82.69,12.69,110
3491,38.7,82.69,12.69,70
31581,38.7,89.5,15,90
3544,37,-60,0,-132
386,37.78,0,0,-50.32
4983,38.1,-119.8,0,56.72
1129,38.7,-50,12.69,-120
3501,38.052,-94.5,0,90
18118,38.68,82.69,12.69,75.41
2945,38.6,70,0,66.5
2816,27,90,0,-90
2126,37.5,20,0,-60
1742,37.9,0,0,-46
353,37.78,0,0,-50.35
2029,38.5,0,0,100
3493,38.7,82.69,12.69,80
1094,37.78,0,0,50.31
6402,24,60,0,0
3917,37.84,-30,0,-104.43
3877,39,82.69,12.69,64
3873,36,110,12.69,150
2882,38,75,0,80
2206,38.7,82.69,12,72
1338,38.7,90,-160,180
8500,38.7,82.69,12.69,90
1237,39,70,0,65.75
8825,35,55,0,40
6823,38.05,82.69,12.69,74.09
404,39,102,0,127.1
320,28,-136,135,-135
1564,38.2,82.69,0,81
8738,37.8,0,0,-49.7
2123,38.7,82.69,12.69,75.4
1750,38.44,90,0,148.2
4995,38.7,82.69,12.69,75.42
2169,38.049,80,0,90
855,32,85,0,87.5
2527,30,50,0,84.1
1148,38,-120,0,51
721,38,13,30,-87
1169,33,60,0,25
1503,39,82.69,12.69,74
3000,38.7,-120,87,89
6462,38.7,48,0,32.5
15233,39,82.69,12.69,84.1
12202,38,90,0,135
2505,20,90,12.69,84.1
5350,38,45,0,14
4875,38.7,70,0,62
1635,39,-60,0,160
918,39,83,13.69,80
268,27,90,0,97.5
24723,39,82.69,12.69,79
5713,37.7,0,0,-47.5
523,37.7,0,0,-65.7
2276,20.14,87.46,23.45,89.99
3822,38.456,-175,170,0
15333,38.7,82.69,12.69,78.1
2307,38.5,90,0,102.5
915,38,45,0,70
1126,37.5,90,0,96.3
812,37.5,0,0,-39
10230,32,80,0,80
1301,34.5,70,12.69,70
7756,38.7,82.69,12.69,84.1
22648,38.71,59.21,-9.01,53.68
4725,38.05,82.69,12.69,68
6705,38.7,80,12.69,84.1
9351,33,45,12.69,21
13888,38,30,0,20
2508,30,45,0,25
1037,38,90,0,180
1057,35,7,0,25
1787,26,90,0,96.71
4238,38.5,90,0,101.3
1170,37.9,75,0,82
2349,38,81.7,12.69,68.6
1579,39,90,90,55.1
1026,38.6,0,0,115
3608,38.7,0,0,-40
1023,38.7,82.69,90,84.1
1074,38.7,82.69,12.69,84
2474,37.2,-65,0,-120
16803,38.23,90,0,99.72
749,38.7,82.69,12.69,74.9
4931,37.7,15,15,41.9
17329,38.7,115,20,130
1630,26.8,84,0,20
3265,38,70,0,59.4
551,38.7,82.72,12.69,75.4
992,38.7,82.69,12.69,60
969,38.5,90,0,101.297
2065,38,97.31,-167.31,-20
3155,29,82,13,70
788,38.7,82.69,12.69,84.1
7986,38.7,110,20,118
16974,37,49,0,25.4
887,38,45,0,18
5683,38.7,64,0,80.1
1584,38.09,-90,0,97.05
1526,35,100,0,70
3198,38.5,90,0,102.5
876,38,82.69,12.69,84.1
1807,37.9,0,0,84.1
2207,37.9,45,0,16.1
2134,38.3,70,0,67
760,39,102,0,127.4
876,37.5,-156.9,0,-20
2853,39,65,0,55
1234,37.5,90,0,102.8
5366,38.3,90,0,99.5
12,29,-135,135,-117
1111,38.21,90,0,99.826
1209,36,0,0,-30
5212,38.5,90,0,102.213
9674,38.7,87,12.69,80
1325,38.5,-40,0,-96.3
1297,37.85,-30,0,-103.45
2633,38.22,90,0,99.61
790,38.675,82.69,12.69,84.1
1364,38.7,82.69,12.69,84.1
7794,38.7,82.69,0,90
944,36,78,12.69,84.1
974,38.7,0,0,-35.3
1520,28,-135,135,-129
1535,38.2,90,0,99.83
4360,38.078,76.3,30,51.2
990,38,45,0,23.25
12368,30,75,0,40
2283,37,82.69,12.69,81
3776,38,81.7,12.69,67.6
9737,38,90,12.69,87.02
2914,38.7,82.69,12.69,81.5
769,38.3,90,20,90
1387,35,85,10,89
1005,37.5,-128,0,50
2911,38.7,60,12.69,84.1
952,38.7,0,0,-34.7
1353,39,97,0,124
6108,25,-135,135,-135
2308,37.8,50,12.69,60
770,37.8,80,10,66
2498,38.2,90,12.69,86.85
410,37.2,90,90,75
1456,38.7,-82.69,12.69,64.1
1124,37,49,0,24
5772,38.052,-100,0,90
2203,39,135,90,100
5696,38,49,0,23
785,35,110,110,100
741,38.7,82.69,12.69,75.4
2536,25,0,70,-80
512,38.7,60,-10.05,53.8
2057,14,120,0,90
2302,38.7,102.69,12.69,-165.25
1103,37.4,0,0,81
2652,37.87,110,90,52.7
4885,38.7,110,20,127
5400,38.7,70,0,80.1
4158,37.7,82.69,12.69,65.1
2494,38,90,0,100
3742,38.7,82.69,12.69,90
735,37.8,80,10,69
4519,38.7,20,0,10
740,27,-144,135,-135
5577,39,90,0,101.09
9258,38.8,85.5,12.69,84.1
1375,39,180,180,135
10803,37.9,36.1,0,0
17460,36,90,0,150
4370,38,60,0,46
969,38,90,0,120
