runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16
5,100000,0,tn2006,ori,1,0.05,30,1000,20,88000010,600,0.1,-73,-10,1.8,current
14,100000,0,tn2006,ori,3,0.05,20,10000,30,88000010,600,0.1,-73,-10,1.8,current
39,100000,0,tn2006,ori,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
49,100000,0,tn2006,ori,1,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
63,100000,0,tn2006,E299V,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
175,100000,0,tn2006,ori,1,0.1,30,4000,30,500,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,255,30,300,600,0.1,-73,-10,1.8,current
44,100000,0,tn2006,V241F,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
5,40000,0,tn2006,ori,2,0.05,30,320,30,88000010,600,0.1,-73,-10,1.8,current
40,100000,0,tn2006,ori,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
32,40000,0,tn2006,ori,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
16,100000,0,tn2006,ori,2,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,50,270,30,88000010,600,0.1,-73,-10,1.8,current
17,100000,0,tn2006,V241F,1,0.05,30,50,30,100,600,0.1,-73,-10,1.8,current
7,100000,0,tn2006,ori,2,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
57,100000,0,tn2006,V241F,3,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,40000,0,tn2006,V241F,2,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
43,40000,0,tn2006,S140G,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,2,0.05,30,140,30,1000,600,0.1,-73,-10,1.8,current
40,100000,0,tn2006,ori,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,20,10000,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,2,0.05,30,136,30,900000000,600,0.1,-73,-10,1.8,current
44,10000,0,tn2006,V241F,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,240,30,88000010,600,0.1,-73,-10,1.8,current
19,100000,0,tn2006,ori,2,0.1,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,2,0.05,40,1000,30,88000010,600,0.1,-73,-10,1.8,current
49,100000,0,tn2006,R231C,1,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
13,100000,0,tn2006,S140G,1,0.05,20,260,30,88000010,600,0.1,-73,-10,1.8,current
61,100000,0,tn2006,ori,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,1,0.05,30,270,30,88000010,600,0.1,-73,-10,1.8,current
1798,100000,0,tn2006,ori,1,0.05,30,10000,30,100,600,0.1,-73,-10,1.8,current
40,100000,0,tn2006,ori,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
58,100000,0,tn2006,ori,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
19,100000,0,tn2006,ori,3,0.05,30,260,20,100,600,0.1,-73,-10,1.8,current
64,100000,0,tn2006,V241F,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,2,0.05,30,150,30,10000,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
57,100000,0,tn2006,V241F,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
32,100000,0,tn2006,ori,1,0.05,30,260,30,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,2,0.05,50,250,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,S140G,1,0.05,30,110,30,88000010,600,0.1,-73,-10,1.8,current
43,100000,0,tn2006,V241F,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
7,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,40000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
