runtime,in01,in02
85,-0.5,8
54,-0.5,3.4
59,-0.5,4
40,-0.5,2.9
48,-0.5,2
63,-0.5,2.6
84,-0.5,9.5
50,-0.5,4.11
69,-0.5,6
31,-0.5,2.29
69,-0.5,9.5
36,-0.5,4
53,-0.5,2.89691
72,-0.5,9.5
73,-0.5,5
48,-0.5,4.4
64,-0.5,5.5
37,-0.5,2.1
94,-0.5,5
57,-0.5,4
42,-0.5,2.8
77,-0.5,6.5
98,-0.5,7
65,-0.5,4
97,-0.5,2.6
43,-0.5,2.897
66,-0.5,9
61,-0.5,2.888
40,-0.5,4
52,-0.5,4
38,-0.5,2.908
55,-0.5,4
41,-0.5,2.9
42,-0.5,2
62,-0.5,5
70,-0.5,9
90,-0.5,9
48,-0.5,2
59,-0.5,4
48,-0.5,2.8975
65,-0.5,9
76,-0.5,5.5
67,-0.5,2.8
90,-0.5,3.53
60,-0.5,7.4
44,-0.5,3
48,-0.5,2.8999
49,-0.5,2.85
41,-0.5,2
41,-0.5,2.85
52,-0.5,2.8967
54,-0.5,3
50,-0.5,2.7
46,-0.5,2.8
67,-0.5,2.90001
46,-0.5,2.89724
97,-0.5,3.8
56,-0.5,2.8969
61,-0.5,4.5
62,-0.5,2.85
35,-0.5,2.19
96,-0.5,8
67,-0.5,3
39,-0.5,2
52,-0.5,6.2
79,-0.5,6
62,-0.5,6.4
35,-0.5,4
48,-0.5,2.8971
50,-0.5,2.9
57,-0.5,2.9
36,-0.5,2
110,-0.5,7
62,-0.5,2.89688
69,-0.5,8.5
42,-0.5,2.902
57,-0.5,2.891
55,-0.5,2.88
59,-0.5,2.8
68,-0.5,5.5
41,-0.5,4.8
37,-0.5,2.6
79,-0.5,7.4
57,-0.5,6.8
40,-0.5,4
49,-0.5,3
51,-0.5,3.6
44,-0.5,2
7,-0.5,3.4
53,-0.5,2.7
73,-0.5,9
46,-0.5,3
110,-0.5,9.7
55,-0.5,3.1
54,-0.5,2.89701
79,-0.5,10
86,-0.5,10
57,-0.5,2.5
100,-0.5,8
46,-0.5,2.91
41,-0.5,2.89
43,-0.5,2.4
50,-0.5,5
36,-0.5,2
44,-0.5,3
61,-0.5,2.77
37,-0.5,2
42,-0.5,2.89667
74,-0.5,9.5
62,-0.5,7.4
50,-0.5,2.86
48,-0.5,2.899
56,-0.5,5
62,-0.5,2.916787
85,-0.5,9.5
54,-0.5,2.885
47,-0.5,2.5
71,-0.5,9
50,-0.5,2.6
52,-0.5,2.89815
49,-0.5,4.4
53,-0.5,5
69,-0.5,9
70,-0.5,10
94,-0.5,5
39,-0.5,2.92
49,-0.5,3
45,-0.5,2.895
76,-0.5,8.3
32,-1,2
37,-0.5,2.904
44,-0.5,2.85
77,-0.5,7
73,-0.5,7.5
53,-0.5,2.8973
48,-0.5,6
81,-0.5,3
57,-0.5,2.91
47,-0.5,3
39,-0.5,2.89683
58,-0.5,2.98
42,-0.5,3.2
37,-0.5,2.51
75,-0.5,6
55,-0.5,2.9
57,-0.5,3.4
43,-0.5,2.899
43,-0.5,4
66,-0.5,6.5
58,-0.5,2.894723
94,-0.5,9.8
81,-0.5,6
76,-0.5,9.5
77,-0.5,6
36,-0.5,2.5
63,-0.5,2.895
74,-0.5,8
48,-0.5,2.6
37,-0.5,3
43,-0.5,2.93
59,-0.5,2.8924
42,-0.5,4
83,-0.5,6
63,-0.5,2.9
53,-0.5,2.892
45,-0.5,4
46,-0.5,2.896
37,-0.5,4
48,-0.5,4.3
63,-0.5,4
47,-0.5,2
34,-0.5,2.8
82,-0.5,8.5
38,-0.5,2.7
61,-0.5,7
53,-0.5,2.89811
62,-0.5,2.8994
93,-0.5,8
61,-0.5,8
47,-0.5,2.89
72,-0.5,9
37,-0.5,2.8972
65,-0.5,8
101,-0.5,5
49,-0.5,5
52,-0.5,2.8978
73,-0.5,5
53,-0.5,2.8993906
44,-0.5,4.5
48,-0.5,3.1
108,-0.5,10
44,-0.5,2.6
59,-0.5,4.2
76,-0.5,8
41,-0.5,2.7
75,-0.5,8.7
108,-0.5,2.898
40,-0.5,2.7797
117,-0.5,7.5
59,-0.5,3.7
94,-0.5,9.1
47,-0.5,4.03
62,-0.5,2.89733
62,-0.5,4.9
76,-0.5,8
39,-0.5,2.73
43,-0.5,4
34,-0.5,2
37,-0.5,2.86
46,-0.5,2.9
91,-0.5,7.2
86,-0.5,10
50,-0.5,5
101,-0.5,4.5
71,-0.5,5
61,-0.5,7
41,-0.5,4
43,-0.5,2.555455
37,-0.5,2
70,-0.5,10
40,-0.5,4
48,-0.5,2.4
53,-0.5,4.5
50,-0.5,3.25
46,-0.5,3.8
47,-0.5,2.3
50,-0.5,6
52,-0.5,2.8908
49,-0.5,4
60,-0.5,5.5
75,-0.5,5.15
54,-0.5,5
73,-0.5,10
41,-0.5,2.9
46,-0.5,2.8
53,-0.5,5
72,-0.5,6
71,-0.5,8
41,-0.5,2.2
59,-0.5,2.896871
49,-0.5,2.1
60,-0.5,6
44,-0.5,2.8994
33,-0.5,2.89898
45,-0.5,3
92,-0.5,2.66
71,-0.5,8
44,-0.5,2
69,-0.5,8.5
33,-0.5,2
51,-0.5,7
38,-0.5,3
61,-0.5,2.903
75,-0.5,8
45,-0.5,4
74,-0.5,7
39,-0.5,4
50,-0.5,2.4
63,-0.5,2.88
36,-0.5,2.87
48,-0.5,2.9
39,-0.5,2.8966
40,-0.5,2.76
44,-0.5,2.9005
58,-0.5,3
37,-0.5,4
69,-0.5,7
37,-0.5,2.8
75,-0.5,5
65,-0.5,3
81,-0.5,8
52,-0.5,2.95
62,-0.5,3.4
47,-0.5,2.85
41,-0.5,2.84
82,-0.5,5
40,-0.5,2.7
53,-0.5,2.891
51,-0.5,2.896861
52,-0.5,2.9
50,-0.5,4
59,-0.5,6
41,-0.5,2.892
77,-0.5,9
50,-0.5,7.5
59,-0.5,2.9
61,-0.5,2.91
39,-0.5,2
2591,-0.5,3
55,-0.5,2.89
105,-0.5,9
68,-0.5,7.5
81,-0.5,10
36,-0.5,2
49,-0.5,2.87
47,-0.5,3.2
33,-0.5,2.2
41,-0.5,2.85
87,-0.5,8
37,-0.5,3
68,-0.5,3.25
48,-0.5,2.89
29,-0.5,2.1
94,-0.5,10
73,-0.5,5.35
42,-0.5,2.89814
49,-0.5,2.78
64,-0.5,10
50,-0.5,5
46,-0.5,3
47,-0.5,2.86
73,-0.5,10
45,-0.5,3
84,-0.5,6.5
87,-0.5,10
57,-0.5,2.8923
88,-0.5,6
80,-0.5,8
69,-0.5,10
58,-0.5,2.4
39,-0.5,2
57,-0.5,4
71,-0.5,7.4
69,-0.5,5
82,-0.5,5
50,-0.5,4
67,-0.5,6.4
37,-0.5,4
2726,-0.5,2.85
62,-0.5,3.1018
49,-0.5,4.06
52,-0.5,7.5
38,-0.5,4
68,-0.5,8.6
46,-0.5,3
48,-0.5,2.8994
93,-0.5,8
65,-0.5,9
49,-0.5,2.892
56,-0.5,2.9
65,-0.5,8
78,-0.5,9
71,-0.5,7.2
97,-0.5,10
40,-0.5,2.89668
69,-0.5,7
34,-0.5,2.92
92,-0.5,10
49,-0.5,2
47,-0.5,2.897
35,-0.5,2
38,-0.5,3.6
74,-0.5,8.5
45,-0.5,2.8925
41,-0.5,2.8
63,-0.5,5
49,-0.5,2
50,-0.5,4
58,-0.5,2.4
51,-0.5,5
41,-0.5,2.8959
39,-0.5,2.64
44,-0.5,2.897
90,-0.5,7
41,-0.5,2.8
73,-0.5,9
96,-0.5,8
73,-0.5,7
50,-0.5,2.8999995
50,-0.5,4
60,-0.5,9.4
80,-0.5,7
99,-0.5,6
43,-0.5,2
54,-0.5,3
24,-0.5,2
62,-0.5,9
35,-0.5,2.25
47,-1,4
72,-0.5,5
33,-0.5,2.8
55,-0.5,2.95
33,-0.5,2.6
52,-0.5,4
48,-0.5,2.89954
109,-0.5,5
32,-0.5,2
55,-0.5,2
54,-0.5,2.8994877
88,-0.5,5
56,-0.5,5
56,-0.5,3
79,-0.5,2.7
38,-0.5,3
76,-0.5,6
92,-0.5,3
54,-0.5,3.4
50,-0.5,2.8913
80,-0.5,9
80,-0.5,10
50,-0.5,5
45,-0.5,2.885
51,-0.5,4
63,-0.5,8.7
53,-0.5,5
51,-0.5,2.898110811
39,-0.5,4
39,-0.5,2.85
96,-0.5,3
53,-0.5,3.94
74,-0.5,7
83,-0.5,2.9
49,-0.5,2.8997
35,-0.5,2
71,-0.5,7
42,-0.5,2.95
61,-0.5,6
