runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,in23,in24,in25,in26,in27,in28,in29,in30
33749,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,50000000,10000000
4705,38,4,300,0.05,-0.05,5,80,0.05,-0.05,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
73,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.1,100000,10000
5685,38,4,300,0.2,-0.2,9,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2797,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5865,38,4,300,0.45,-0.45,5,80,0.45,-0.45,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3411,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2.5,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5029,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.3,0.3,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4308,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.15,0.15,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
5917,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
611,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0,0,0,0,-0.2,0.2,0.05,10000000,1000000
3075,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2739,38,4,300,0.2,-0.2,5,80,0.2,-0.2,3,1.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.658,2.641,-0.2,0.2,0.05,10000000,1000000
72979,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.2,0.2,3.203,3.209,-0.2,0.2,0.05,50000000,10000000
4457,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,3,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.621,2.639,-0.2,0.2,0.05,10000000,1000000
542931,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.6,0.6,4.189,4.21,-0.2,0.2,0.05,100000000,50000000
553,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4629,38,4,300,0.2,-0.2,5,80,0.2,-0.2,0.5,2,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.564,2.566,-0.2,0.2,0.05,10000000,1000000
4892,38,4,300,0.08,-0.08,5,80,0.08,-0.08,0.5,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4131,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,0.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5029,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1.5,0.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.543,2.542,-0.2,0.2,0.05,10000000,1000000
4645,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2.5,1.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.629,2.621,-0.2,0.2,0.05,10000000,1000000
5973,38,4,300,0.2,-0.2,8,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5031,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2.5,2,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.649,2.643,-0.2,0.2,0.05,10000000,1000000
4977,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3022,38,4,300,0.08,-0.08,5,80,0.08,-0.08,3,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5142,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2,0.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.565,2.563,-0.2,0.2,0.05,10000000,1000000
3413,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2653,38,4,300,0.2,-0.2,5,80,0.2,-0.2,3,3,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.731,2.731,-0.2,0.2,0.05,10000000,1000000
47985,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.6,0.6,4.189,4.21,-0.2,0.2,0.05,10000000,1000000
285,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,120000,100000
3082,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
974,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,1500000,500000
2440,38,4,300,0.08,-0.08,5,80,0.08,-0.08,3,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5510,38,4,300,0.3,-0.3,5,80,0.3,-0.3,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
165128,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.4,0.4,3.821,3.835,-0.2,0.2,0.05,50000000,10000000
9831,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.25,0.25,3.402,3.41,-0.2,0.2,0.05,10000000,1000000
3734,38,4,300,0.08,-0.08,5,80,0.08,-0.08,0.5,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3100,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2.5,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
6365,38,4,300,0.5,-0.5,5,80,0.5,-0.5,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3245,38,4,300,0.08,-0.08,5,80,0.08,-0.08,3,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
1,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,80,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
5542,38,4,300,0.2,-0.2,7,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5286,38,4,300,0.4,-0.4,5,80,0.4,-0.4,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3692,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
6575,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.6,0.6,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4911,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2,1.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.603,2.601,-0.2,0.2,0.05,10000000,1000000
44500,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.15,0.15,2.946,2.951,-0.2,0.2,0.05,50000000,10000000
117888,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.3,0.3,3.564,3.575,-0.2,0.2,0.05,50000000,10000000
313350,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.6,0.6,4.189,4.21,-0.2,0.2,0.05,50000000,10000000
4964,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2.5,0.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
0,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,10,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
2701,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
1833568,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.95,0.95,4.618,4.651,-0.2,0.2,0.05,10000000,1000000
1833568,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.75,0.75,4.395,4.421,-0.2,0.2,0.05,10000000,1000000
1833670,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,1,1,4.667,4.702,-0.2,0.2,0.05,10000000,1000000
1833701,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.9,0.9,4.567,4.597,-0.2,0.2,0.05,10000000,1000000
1898797,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.9,0.9,4.567,4.597,-0.2,0.2,0.05,10000000,1000000
1833190,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.8,0.8,4.456,4.483,-0.2,0.2,0.05,10000000,1000000
2049192,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.85,0.85,4.512,4.542,-0.2,0.2,0.05,10000000,1000000
1981047,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.7,0.7,4.331,4.355,-0.2,0.2,0.05,10000000,1000000
2047948,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,1,1,4.667,4.702,-0.2,0.2,0.05,10000000,1000000
2048693,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.8,0.8,4.456,4.483,-0.2,0.2,0.05,10000000,1000000
1984508,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.65,0.65,4.262,4.285,-0.2,0.2,0.05,10000000,1000000
2052665,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.95,0.95,4.618,4.651,-0.2,0.2,0.05,10000000,1000000
2055305,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.65,0.65,4.262,4.285,-0.2,0.2,0.05,10000000,1000000
1997253,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.85,0.85,4.512,4.542,-0.2,0.2,0.05,10000000,1000000
2056200,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.75,0.75,4.395,4.421,-0.2,0.2,0.05,10000000,1000000
2052249,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.7,0.7,4.331,4.355,-0.2,0.2,0.05,10000000,1000000
