runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,in23,in24,in25,in26,in27,in28,in29,in30
228140,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.5,0.5,4.023,4.04,-0.2,0.2,0.05,50000000,10000000
4503,38,4,300,0.3,-0.3,5,80,0.3,-0.3,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
199709,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.3,0.3,3.564,3.575,-0.2,0.2,0.05,100000000,50000000
2609,38,4,300,0.2,-0.2,5,80,0.2,-0.2,3,2.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.705,2.695,-0.2,0.2,0.05,10000000,1000000
37446,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,100000000,50000000
1,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,100,100,100,200,200,200,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,15000000,5000000
193832,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.45,0.45,3.928,3.943,-0.2,0.2,0.05,50000000,10000000
1,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,70,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
3276,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5788,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.9,0.9,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4965,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1.5,1.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.584,2.584,-0.2,0.2,0.05,10000000,1000000
5109,38,4,300,0.05,-0.05,5,80,0.05,-0.05,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
2381,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.05,0.05,1.958,1.959,-0.2,0.2,0.05,10000000,1000000
5153,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2,2,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.623,2.623,-0.2,0.2,0.05,10000000,1000000
296132,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.4,0.4,3.821,3.835,-0.2,0.2,0.05,100000000,50000000
5580,38,4,300,0.5,-0.5,5,80,0.5,-0.5,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
1,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,100,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
82003,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
4944,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2.5,0.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.592,2.584,-0.2,0.2,0.05,10000000,1000000
4848,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2.5,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.608,2.601,-0.2,0.2,0.05,10000000,1000000
4450,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
37712,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.55,0.55,4.109,4.128,-0.2,0.2,0.05,10000000,1000000
3461,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,3,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5454,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.5,0.5,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5065,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.4,0.4,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5118,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.2,0.2,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
274,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,120000,100000
5319,38,4,300,0.2,-0.2,5,80,0.2,-0.2,1,0.5,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.601,2.62,-0.2,0.2,0.05,10000000,1000000
89460,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
