runtime,Airfoil,Mach_Number,Reynolds_Number,TOL,Total_Iteration,IVISC,CFL_Number
87709,A01,0.02941,500000,0.00001,1000000,30,4
11051,A04,0.2,5000000,0.000001,3000,3,1
6750,A04,0.2,300000,0.00001,3000,30,4
61,A04,0.8,3000000,0.000001,3000,3,1
14168,A08,0.0206,500000,0.000001,3000,3,1
268,A04,0.5,3000000,0.000001,3000,3,1
21340,A04,0.03,661770,0.001,1000,3,1
6836,A01,0.02353,500000,0.001,5000,30,4
5551,A01,0.2,544217,0.0001,3000,3,1
93918,A06,0.3,240000,0.00001,50000,10,4
6700,A01,0.2,300000,0.00001,3000,30,4
135512,A01,0.0294,500000,0.00001,1000000,30,1
20912,A04,0.2,3000000,0.000001,3000,3,8
5205,A04,0.02057,500000,0.000001,3000,30,4
19270,A01,0.02353,500000,0.0001,10000,30,1
86480,A06,0.3,240000,0.00001,50000,3,4
7152,A09,0.02,500000,0.0001,3000,3,4
3,A08,7,3000000,0.000001,3000,3,1
32113,A01,0.02353,500000,0.00001,1000000,30,4
10468,A06,0.03,500000,0.0001,3000,3,4
4128,A11,0.03,500000,0.01,1000,3,1
31052,A07,0.03,500000,0.000001,3000,3,1
6,A05,0.85,3000000,0.000001,30000,30,3
5409,A04,0.2,3000000,0.000001,3000,3,1
266,A04,0.4,3000000,0.000001,3000,3,1
9361,A04,0.02,500000,0.0001,3000,3,4
30291,A02,0.03,500000,0.000001,3000,3,1
14047,A06,0.0206,500000,0.000001,3000,3,1
2438,A04,0.03,500000,0.001,1000,3,1
11007,A03,0.03,500000,0.0001,3000,3,4
11842,A01,0.02765,500000,0.0001,1000000,30,4
7403,A04,0.2,3000000,0.000001,3000,10,1
9061,A11,0.03,500000,0.0001,3000,3,4
5647,A10,0.2,3000000,0.000001,3000,3,1
9198,A11,0.02,500000,0.0001,3000,3,4
4073,A07,0.03,500000,0.01,1000,3,1
10153,A01,0.03,500000,0.0001,3000,3,4
14147,A05,0.0206,500000,0.000001,3000,3,1
15453,A04,0.2,3000000,0.000001,3000,3,1
22,A04,1,3000000,0.000001,3000,3,1
5377,A02,0.2,3000000,0.000001,3000,3,1
30055,A04,0.03,500000,0.000001,3000,3,1
5441,A01,0.0235,544217,0.00001,3000,3,1
5428,A01,0.0235,544217,0.0001,3000,3,1
9376,A10,0.02,500000,0.0001,3000,3,4
10239,A12,0.2,3000000,0.000001,3000,3,1
19671,A04,0.02353,500000,0.000001,10000,30,1
31013,A08,0.03,500000,0.000001,3000,3,1
10368,A04,0.03,500000,0.0001,3000,3,4
31164,A05,0.03,500000,0.000001,3000,3,1
6380,A06,0.02,500000,0.000001,3000,3,1
407588,A01,0.75,3000000,0.000001,3000,3,1
434,A03,0.02,500000,0.000001,3000,3,1
407569,A06,0.75,3000000,0.000001,3000,3,1
360,A04,0.2,3000000,0.000001,3000,3,1
368767,A10,0.75,3000000,0.000001,3000,3,1
264,A04,0.2,3000000,0.000001,3000,3,1
407556,A05,0.75,3000000,0.000001,3000,3,1
41,A04,0.2,3000000,0.000001,3000,3,2
368818,A05,0.75,3000000,0.000001,3000,3,1
238997,A06,0.75,3000000,0.000001,3000,3,1
212,A03,0.02647059,5000000,0.000001,5000,3,1
368811,A06,0.75,3000000,0.000001,3000,3,1
