runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10
16,12,0.5,0.5,70,100,PO,1,24,No,Yes
22,5,1.5,0.5,70,500,PO,4,6,No,Yes
36,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,5,0.75,0.5,70,800,PO,14,12,No,Yes
20,5,1.5,0.5,70,400,PO,14,12,No,Yes
251,5,1.5,0.5,70,400,PO,14,12,No,Yes
31,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,5,1.5,0.5,70,400,PO,20,12,No,Yes
19,5,1.5,0.5,70,800,PO,3,24,No,Yes
29,5,1.5,0.5,70,400,PO,14,12,No,Yes
41,50,2,1,70,800,PO,1,24,Yes,Yes
32,5,1.5,0.5,70,400,PO,14,12,No,Yes
45,5,1.5,0.5,70,800,PO,7,24,No,Yes
27,5,1.5,0.5,70,400,PO,14,12,No,Yes
17,12,0.5,0.5,70,100,PO,1,24,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
29,5,1.5,0.5,70,800,PO,3,24,No,Yes
25,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,400,PO,20,12,No,Yes
20,1,0.5,0.5,70,50,PO,10,8,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
39,5,1.5,0.5,70,400,PO,14,12,No,Yes
15,12,0.5,0.5,70,100,PO,1,24,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
23,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,1,0.5,0.5,70,100,PO,10,8,No,Yes
20,5,1.5,0.5,70,800,PO,7,24,No,Yes
18,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,800,PO,7,24,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
894,5,1.5,0.5,70,800,PO,7,24,No,Yes
65,5,1.5,0.5,70,400,PO,14,12,No,Yes
20,1,0.1,0.5,70,100,PO,10,8,No,Yes
16,5,0.75,0.5,70,800,PO,14,12,No,Yes
30,5,1.5,0.5,70,800,PO,7,24,No,Yes
27,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,1,0.5,0.5,70,500,PO,10,8,No,Yes
18,12,0.5,0.5,70,100,PO,1,24,No,Yes
46,5,1.5,0.5,70,800,PO,7,24,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
6,24,1,1,70,100,PO,1,0,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,5,1.5,0.5,70,400,PO,6,12,No,Yes
38,50,2,1,70,800,PO,1,24,Yes,Yes
12,5,1.5,0.5,70,800,PO,3,24,No,Yes
32,5,1.5,0.5,70,400,PO,14,12,No,Yes
371,1,35,0.5,70,100,PO,10,8,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
799,5,1.5,0.5,70,800,PO,5,24,No,Yes
67,5,1.5,0.5,70,800,PO,7,24,No,Yes
39,50,2,1,70,800,PO,1,24,Yes,Yes
23,5,1.5,0.5,70,400,PO,6,12,No,Yes
21,5,1.5,0.5,70,800,PO,3,24,No,Yes
17,5,1.5,0.5,70,800,PO,3,24,No,Yes
22,5,1.5,0.5,70,800,PO,7,24,No,Yes
15,24,1,0.5,70,100,PO,1,24,No,Yes
29,5,1.5,0.5,70,800,PO,20,8,No,Yes
23,5,1.5,0.5,70,800,PO,3,24,No,Yes
21,5,1.5,0.5,70,400,PO,14,12,No,Yes
60,5,1.5,0.5,70,800,PO,7,24,No,Yes
111,5,1.5,0.5,70,400,PO,14,24,No,Yes
40,0.2,0.5,0.5,70,100,PO,10,8,No,Yes
24,5,1.5,0.5,70,400,PO,14,12,No,Yes
39,5,1.5,0.5,70,800,PO,7,24,No,Yes
12,50,2,1,70,800,PO,1,24,No,No
5,50,2,1,70,800,PO,1,24,No,Yes
21,5,1.5,0.5,70,400,PO,7,12,No,Yes
21,1,0.3,0.5,70,100,PO,10,8,No,Yes
25,5,1.5,0.5,70,400,PO,14,24,No,Yes
25,5,1.5,0.5,70,800,PO,7,24,No,Yes
16,5,1.5,0.5,70,800,PO,7,24,No,Yes
56,5,1.5,0.5,70,800,PO,7,24,No,Yes
26,5,1.5,0.5,70,800,PO,7,24,No,Yes
22,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,5,1.5,0.5,70,400,PO,6,12,No,Yes
22,5,1.5,0.5,70,400,PO,14,12,No,Yes
19,5,1.5,0.5,70,800,PO,7,24,No,Yes
16,5,1.5,0.1,70,800,PO,1,24,No,Yes
19,5,1.5,0.5,70,800,PO,3,24,No,Yes
17,5,1.5,0.5,70,800,PO,3,24,No,Yes
19,5,1.5,0.5,70,800,PO,3,24,No,Yes
20,5,1.5,0.5,70,400,PO,7,24,No,Yes
827,5,1.5,0.5,70,400,PO,14,12,No,Yes
23,5,1.5,0.5,70,400,PO,14,24,No,Yes
24,5,1.5,0.5,70,800,PO,7,24,No,Yes
20,5,1.5,0.5,70,400,PO,7,12,No,Yes
23,5,1.5,0.5,70,400,PO,6,12,No,Yes
24,5,1.5,0.5,70,800,PO,7,24,No,Yes
21,5,1.5,0.5,70,800,PO,7,24,No,Yes
50,50,2,1,70,800,PO,1,24,Yes,Yes
29,5,1.5,0.5,70,800,PO,7,24,No,Yes
25,1,0.9,0.5,70,100,PO,10,8,No,Yes
19,2,0.5,0.5,70,50,PO,10,8,No,Yes
15,24,1,0.5,70,100,PO,1,24,No,Yes
19,1,0.25,0.5,70,50,PO,10,8,No,Yes
41,50,2,1,70,800,PO,1,24,Yes,Yes
30,0.5,0.7,0.5,70,100,PO,10,8,No,Yes
19,1,0.5,0.5,70,500,PO,10,8,No,Yes
370,1,35,0.5,70,500,PO,10,8,No,Yes
