"","training time","random forest error","best k","clutch error"
"1",140.356,27.4902,2,14.128
"18",131.513,14.1716,2,14.474
"2",71.323,19.8278,6,15.45
"34",122.358,26.7146,2,14.06
"50",133.837,26.4094,2,14.148
"19",69.718,14.282,3,14.622
"24",130.569,14.1884,2,14.432
"29",124.545,14.127,2,14.634
"8",70.3,19.3526,6,15.16
"13",74.451,19.7748,3,23.212
"45",126.405,26.5952,2,14.074
