"","training time","random forest error","best k","clutch error"
"1",54.929,40.8184,20,38.072
"18",88.3390000000001,40.1404,16,39.24
"2",88.031,40.7382,6,38.314
"34",59.231,41.3694,5,36.158
"50",50.296,51.3362,6,48.478
"19",218.439,40.6378,10,41.652
"24",59.923,41.6776,13,36.036
"29",38.2719999999999,52.5164,19,50.318
"8",72.264,39.5514,12,36.066
"13",56.359,50.914,20,49.702
"45",60.028,47.2854,15,39.752
