"","training time","random forest error","best k","clutch error"
"1",129.386,27.4902,2,14.128
"18",125.699,14.1716,2,14.474
"2",63.803,19.8278,6,15.45
"34",116.774,26.7146,2,14.06
"50",107.059,26.4094,2,14.148
"19",66.01,14.282,3,14.622
"24",124.261,14.1884,2,14.432
"29",127.72,14.127,2,14.634
"8",63.779,19.3526,6,15.16
"13",67.826,19.7748,3,23.212
"45",108.315,26.5952,2,14.074
